"Holdings and weightings as of 5:38 PM ET 03/06/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"M","Macy's Inc","0.31%","30.17","-0.20","-0.64%","4.27 M","17.41 - 32.16",
"AAP","Advance Auto Parts Inc","0.30%","117.24","-1.35","-1.14%","225.92 K","78.81 - 155.81",
"SNI","Scripps Networks Interactive A","0.29%","90.04","-0.06","-0.07%","11.13 M","64.87 - 93.58",
"CMG","Chipotle Mexican Grill Inc.","0.27%","316.44","-1.60","-0.50%","126.62 K","247.52 - 499.00",
"PHM","Pulte Group Inc","0.27%","29.54","-0.36","-1.20%","1.09 M","21.41 - 35.21",
"TSCO","Tractor Supply Co","0.27%","64.14","-0.64","-0.99%","724.31 K","49.87 - 82.68",
"GPS","Gap Inc","0.25%","33.36","-1.23","-3.57%","2.70 M","21.02 - 35.68",
"HOG","Harley-Davidson Inc","0.25%","43.51","-0.82","-1.85%","982.24 K","43.48 - 63.40",
"HBI","Hanesbrands Inc","0.25%","20.25","-0.07","-0.34%","1.72 M","18.57 - 25.73",
"GT","Goodyear Tire & Rubber Co","0.24%","28.03","-0.35","-1.22%","915.17 K","27.85 - 37.20",
"GRMN","Garmin Ltd","0.22%","59.63","-0.18","-0.30%","244.16 K","48.50 - 65.96",
"JWN","Nordstrom Inc","0.21%","51.10","-1.39","-2.65%","1.16 M","37.79 - 54.00",
"NWSA","News Corp A","0.21%","16.13","-0.29","-1.77%","460.24 K","12.19 - 17.29",
"LEG","Leggett & Platt","0.20%","44.95","-0.57","-1.24%","618.54 K","41.25 - 54.97",
"RL","Ralph Lauren Corp A","0.20%","106.30","-0.66","-0.62%","248.12 K","66.06 - 119.33",
"MAT","Mattel Inc","0.19%","16.16","-0.28","-1.70%","727.43 K","12.71 - 25.97",
"HRB","Block H & R Inc","0.18%","28.15","+2.38","+9.24%","4.56 M","20.50 - 31.80",
"FL","Foot Locker Inc","0.18%","40.92","-1.18","-2.80%","1.27 M","28.42 - 77.86",
"DISCK","Discovery Communications Inc C","0.16%","21.58","-1.28","-5.60%","3.15 M","14.99 - 29.18",
"TRIP","TripAdvisor Inc. A","0.15%","42.55","+0.17","+0.40%","698.48 K","29.50 - 50.95",
"DISCA","Discovery Communications Inc A","0.13%","23.07","-1.35","-5.53%","3.42 M","15.99 - 30.25",
"UAA","Under Armour Inc A","0.11%","17.31","-0.31","-1.76%","1.84 M","11.40 - 23.46",
"UA","Under Armour Inc-C","0.10%","15.45","-0.28","-1.78%","975.11 K","10.36 - 21.81",
"SIG","Signet Jewelers Ltd","0.10%","49.05","+0.30","+0.62%","1.30 M","46.09 - 77.94",
"NWS","News Corp B","0.07%","16.38","-0.23","-1.36%","43.59 K","12.50 - 17.70",
