Date,A,ABBV,ABC,ABT,AET,AGN,ALGN,ALXN,AMGN,ANTM,BAX,BDX,BIIB,BMY,BSX,CAH,CELG,CERN,CI,CNC,COO,DGX,DHR,DVA,ESRX,EVHC,EW,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,IQV,ISRG,JNJ,LH,LLY,MCK,MDT,MRK,MTD,MYL,PDCO,PFE,PKI,PRGO,REGN,RMD,SYK,TMO,UHS,UNH,VAR,VRTX,WAT,XRAY,ZBH,ZTS
2017-12-26,67.10144,97.053818,92.88694,56.72871,179.92865,163.72573899999998,223.539993,119.220001,174.768875,224.70078999999998,64.86653100000001,216.27712999999997,319.77999900000003,60.860649,25.129998999999998,61.734607999999994,106.970001,67.68,203.732605,102.260002,220.412521,98.822884,93.180359,72.099998,74.989998,33.740002000000004,112.160004,72.699997,88.832802,43.23,70.620003,245.853058,157.070007,214.210007,95.400002,98.349998,365.829987,139.198654,161.03999299999998,84.362137,158.548447,81.011635,55.851589000000004,613.530029,42.27,35.982418,35.877617,72.985802,87.724907,387.429993,85.274834,153.744263,190.189575,114.282738,218.87532000000002,110.82,150.600006,193.820007,66.172195,119.72036000000001,72.22126800000001
2017-12-27,67.151329,97.391388,92.239464,57.196472,180.357498,164.85083,226.44999700000002,119.800003,174.88798500000001,224.511429,64.62710600000001,216.576096,320.070007,61.277916000000005,25.200001,61.370132,104.459999,67.610001,202.662857,103.019997,221.16242999999997,98.753197,93.41999799999999,72.309998,74.879997,34.560001,113.160004,72.980003,87.587112,43.23,70.459999,247.749985,156.690002,215.460007,96.510002,98.540001,368.089996,139.675613,160.75,84.511032,157.67039499999998,81.300003,55.851589000000004,615.929993,42.0,36.121421999999995,35.996517,73.025757,88.303558,384.089996,85.444214,155.149994,191.018921,114.06293500000001,219.69261200000003,111.099998,151.550003,193.449997,65.942497,119.900002,72.331085
2017-12-28,67.300995,97.093529,92.2295,57.186519999999994,180.73645,163.904953,226.479996,120.260002,173.935181,226.305588,64.746826,213.586365,320.329987,61.367329000000005,25.190001000000002,61.212520999999995,104.75,67.93,205.192276,102.900002,220.15255699999997,98.68351,93.559998,72.360001,74.989998,34.639998999999996,114.550003,72.480003,88.005661,43.299999,70.559998,249.00999500000003,158.78999299999998,217.520004,95.379997,98.309998,368.869995,139.665665,160.850006,84.4217,157.381027,81.339996,56.109337,622.599976,41.860001000000004,36.161133,36.036148,73.355469,87.06644399999999,382.820007,85.942368,155.619995,191.018921,114.272751,222.03486600000002,112.290001,151.169998,194.809998,66.43,121.75,72.271187
2017-12-29,66.970001,96.02121700000001,91.462502,56.798374,179.898743,162.869476,222.190002,119.589996,172.595306,224.28216600000002,64.487434,213.32725499999998,318.570007,60.88052,24.790001,60.807602,104.360001,67.389999,203.042755,100.879997,217.852844,98.04639399999999,92.82,72.25,74.639999,34.560001,112.709999,71.639999,87.537277,42.75,69.879997,248.07000699999998,156.380005,218.49000499999997,94.709999,97.900002,364.940002,138.831009,159.509995,83.836052,155.604965,80.75,55.7822,619.52002,42.310001,35.873199,35.887527,73.05574,86.956711,375.959991,84.378151,154.83999599999999,189.72995,113.253616,219.732483,111.150002,149.860001,193.190002,65.83000200000001,120.66999799999999,71.921761
2018-01-02,67.599998,97.709114,93.673859,58.510189000000004,180.197922,169.5802,224.61999500000002,124.050003,175.672043,225.268967,67.011459,217.094315,334.170013,60.910328,25.280001000000002,63.23,106.160004,68.57,202.512894,102.589996,220.59249900000003,98.454552,92.440002,72.540001,75.230003,35.18,111.58000200000001,74.099998,89.20153,42.869999,71.470001,251.63999900000002,157.809998,224.02999900000003,100.889999,99.760002,375.25,138.34411599999999,162.300003,84.054428,158.648224,82.209999,55.732631999999995,626.099976,43.110001000000004,37.61076,36.105507,73.845047,89.480804,382.600006,85.215057,157.899994,192.827499,115.501701,220.430176,110.980003,152.91000400000001,195.690002,67.139999,124.059998,71.652199
2018-01-03,69.32,99.23814399999999,94.022499,58.639568000000004,181.304901,169.40097,231.19999700000002,124.949997,178.986984,228.408768,68.088913,219.236954,339.850006,60.959998999999996,25.559998999999998,62.860001000000004,109.139999,69.07,205.91210900000002,104.43,226.711746,98.80297900000001,93.66999799999999,72.910004,75.660004,35.0,114.589996,74.660004,86.740044,43.490002000000004,72.139999,251.27999900000003,162.050003,230.32000699999998,100.980003,99.519997,383.820007,139.665665,163.050003,84.511032,156.413177,83.91999799999999,55.653324,631.539978,43.139998999999996,36.965378,36.373028000000005,76.093071,89.231392,393.77999900000003,86.101776,158.78999299999998,196.3647,113.29357900000001,222.74250800000002,111.309998,152.009995,197.770004,66.910004,124.91999799999999,71.981659
2018-01-04,68.800003,98.672203,93.813316,58.540046999999994,182.870621,170.83471699999998,233.30000299999998,122.690002,178.232697,229.465347,68.24854300000001,220.233536,339.98999,61.75,25.32,63.66,106.68,69.010002,206.991837,102.5,223.522141,98.63374300000001,94.120003,74.849998,76.08000200000001,35.400002,115.410004,73.900002,85.663765,43.77,72.18,258.359985,163.96000700000002,232.99000499999997,98.440002,97.279999,376.920013,139.655731,162.46000700000002,84.888222,154.716949,84.120003,56.555434999999996,627.030029,44.310001,37.203674,36.452293,76.29289200000001,90.867561,382.950012,86.221336,158.740005,198.822754,112.694092,223.70930499999997,109.860001,153.070007,199.66000400000001,66.900002,124.739998,72.410957
2018-01-05,69.900002,100.38988499999999,94.948875,58.70924,185.30397,171.541626,241.07000699999998,122.800003,179.29466200000002,233.581985,69.016724,221.319794,342.48999,61.889998999999996,25.969998999999998,63.220001,104.989998,70.529999,210.501038,105.489998,230.471268,99.46000699999999,94.709999,75.529999,76.010002,35.0,115.860001,74.519997,86.63041700000001,43.98,73.33000200000001,264.329987,166.600006,228.169998,99.849998,98.559998,379.01001,140.80835,166.479996,85.93046600000001,156.812302,85.540001,56.49595600000001,637.349976,44.540001000000004,37.412182,36.521652,76.872383,90.967331,385.100006,87.367104,161.059998,202.23005700000002,111.874794,227.975189,110.870003,155.690002,202.229996,67.839996,125.980003,73.239594
2018-01-08,70.050003,98.781418,96.522728,58.540046999999994,184.147125,169.819153,248.899994,119.699997,179.245041,231.07014500000002,69.116486,220.64212,329.649994,61.91,25.809998999999998,65.220001,104.18,70.589996,208.17157,104.91999799999999,231.621124,99.690002,95.25,75.660004,76.559998,35.060001,118.139999,74.400002,86.451042,44.419998,74.339996,258.549988,165.080002,227.059998,100.809998,98.599998,391.859985,140.987198,165.940002,85.493713,158.79788200000002,85.510002,56.16881600000001,633.179993,44.560001,37.511466999999996,36.115414,76.702522,89.919777,372.519989,87.86526500000001,163.259995,202.559799,110.056335,224.01827999999998,111.400002,156.889999,204.759995,68.300003,126.220001,74.118149
2018-01-09,71.769997,99.526077,97.140312,58.639568000000004,183.100006,174.887039,251.440002,121.800003,182.00418100000002,233.90095499999998,69.216248,225.644943,336.359985,61.849998,27.959999,67.099998,105.489998,71.699997,207.821655,105.970001,234.22081,101.139999,98.610001,77.470001,79.910004,34.919998,119.510002,78.099998,85.703629,44.220001,73.449997,263.079987,165.729996,242.80000299999998,96.290001,98.540001,397.600006,143.22288500000002,170.53999299999998,85.42423199999999,160.284592,85.879997,56.307602,649.98999,44.290001000000004,37.084526000000004,36.075783,77.831535,90.62812,368.649994,87.67596400000001,160.779999,205.93713400000001,110.695793,225.134598,112.93,156.009995,208.96000700000002,65.449997,124.190002,74.986725
