Date,ANDV,APA,APC,BHGE,CHK,COG,COP,CVX,CXO,DVN,EOG,EQT,FTI,HAL,HES,HP,KMI,MPC,MRO,NBL,NFX,NOV,OKE,OXY,PSX,PXD,RRC,SLB,VLO,WMB,XEC,XOM
2017-11-28,104.21553,40.05442,47.720546999999996,29.913147,3.87,29.037888,49.861652,115.3022,137.779999,37.111492,99.839996,56.834286,27.5,40.691818,43.125842999999996,55.860641,16.916225,61.798668000000006,14.56,25.748348,29.92,32.080887,49.423716999999996,67.389496,93.340347,151.08999599999999,17.957857,61.374748,82.485153,28.063452,114.148407,80.843315
2017-11-29,104.49379,40.521908,47.830436999999996,29.813702000000003,4.05,29.107738,50.458439,116.02500900000001,137.509995,37.041603,100.5,58.073508999999994,27.57,40.969574,44.547462,56.424492,16.648027,60.984218999999996,14.75,25.808113,30.1,32.560154,49.789013,68.30809,94.193855,151.16000400000001,17.977833,61.236805000000004,82.584251,28.023869,114.13842,81.437241
2017-11-30,104.81179,41.606071,48.040217999999996,29.565088,4.07,28.888208000000002,50.607634999999995,117.81716200000001,139.860001,38.469353000000005,102.32,59.562568999999996,28.639999,41.445736,45.611195,57.947876,17.114887,62.205891,14.84,26.196579,30.93,33.498714,51.24033,68.894432,96.823853,156.03999299999998,17.997808,61.926514000000005,84.843582,28.746235,116.016907,82.446922
2017-12-01,103.77828199999999,43.983276000000004,48.669567,30.529709000000004,4.09,28.618784,51.463032,118.332039,141.46000700000002,38.778866,102.910004,59.532589,29.25,42.715496,46.814106,58.917301,17.293685999999997,62.414467,15.08,26.893826,31.879998999999998,34.037890999999995,51.447659,68.64035,96.833786,157.16000400000001,18.477217,63.778895999999996,83.406723,28.983727000000002,116.79628799999999,82.615196
2017-12-04,106.302429,42.978683000000004,48.5397,31.534103,3.95,28.509017999999998,51.015442,119.648926,139.190002,38.579182,101.050003,59.612541,28.91,43.538853,46.29715,57.799492,17.134754,62.871353000000006,14.9,26.734455,31.4,33.928059000000005,51.625370000000004,68.464439,96.794083,156.350006,17.847994,63.650803,82.87162,28.746235,112.70956399999999,82.724083
2017-12-05,106.90862299999999,41.924358000000005,48.210037,30.639096999999996,3.92,28.269531,50.955760999999995,119.203369,138.309998,38.319592,100.900002,58.982937,28.24,43.280933000000005,46.018791,57.215858,17.025488,64.102959,14.88,26.52528,30.559998999999998,33.119296999999996,51.674735999999996,68.405815,97.52849599999999,153.860001,17.25872,63.005359999999996,85.002121,28.766026,112.65960700000001,82.05096400000001
2017-12-06,107.067619,40.352814,47.061234000000006,30.340760999999997,3.77,27.990128000000002,50.110313,118.431053,135.970001,36.821953,98.860001,57.144093000000005,27.559998999999998,43.211208,44.408279,55.860641,16.995689000000002,63.030269999999994,14.45,25.798151,28.440001000000002,32.66,51.141597999999995,67.692436,96.85363000000001,150.66000400000001,16.479679,61.635029,84.199471,28.389999,110.011726,81.447144
2017-12-07,108.240257,40.412495,47.271015000000006,30.201538,3.7,27.720705,50.269455,118.450851,138.21000700000002,37.09153,99.720001,55.764956999999995,27.18,43.290894,44.338692,56.59265500000001,17.244020000000003,63.566612,14.74,25.798151,28.860001,32.400002,51.743846999999995,67.829254,97.121597,154.25,15.930357,61.635029,84.813843,28.469998999999998,110.7911,81.714409
2017-12-08,110.347031,40.482121,47.870391999999995,30.092147999999998,3.68,27.690769,51.293941,118.737999,140.21000700000002,37.990108,100.389999,56.344593,27.35,43.818836,45.22348,57.384021999999995,17.671148000000002,64.311531,15.15,26.834063,29.389999,32.619999,52.336216,68.056534,98.798843,155.899994,16.060195999999998,63.094730000000006,86.80561800000001,28.549999,111.81028700000002,81.823296
2017-12-11,110.267525,39.97485,48.25,30.420319,3.83,28.269531,51.413296,119.23307,141.149994,38.42942,101.209999,57.094124,28.59,44.98428,45.491894,57.809383,17.84001,64.023499,15.15,26.774297999999998,30.360001,33.290001000000004,52.721264,68.679092,98.96755999999999,158.669998,16.679434,64.107582,86.409248,28.9,112.629631,82.189552
