Date,AEE,AEP,AES,AWK,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EXC,FE,LNT,NEE,NI,NRG,PCG,PEG,PNW,PPL,SCG,SO,SRE,WEC,XEL
2017-11-28,63.391135999999996,76.279076,10.451645,89.098396,49.285255,29.27282,82.232964,112.48126200000002,87.930817,87.16726700000001,80.377739,63.519817,85.298203,41.568855,33.157897999999996,44.400143,156.669128,26.970290999999996,28.826815000000003,55.049999,51.123669,89.984688,35.586292,42.937737,50.819798,118.667877,68.307968,50.864262
2017-11-29,63.222359,76.397926,10.491197,89.87429,49.196003000000005,29.361884999999997,82.29174,112.697685,87.950577,87.583389,80.64520300000001,63.569016000000005,85.110497,41.301373,33.286415000000005,44.519127000000005,156.649277,26.940544,28.167574,55.060001,51.772040999999994,90.212677,35.664227000000004,43.154796999999995,50.425003000000004,119.34268999999999,68.634987,50.874184
2017-11-30,63.50034300000001,76.883209,10.461533,91.077919,49.483585,29.698355,83.181587,113.69126899999999,88.128456,88.217476,80.506516,63.805153000000004,85.436516,41.321186,33.751059999999995,44.727345,156.917343,27.297503999999996,27.618206,54.240002000000004,52.125706,91.005661,35.722671999999996,42.592419,50.533573,120.067116,68.86290699999999,51.22155
2017-12-01,63.291855000000005,76.496964,10.550526,90.739716,49.324921,29.223339000000003,82.627899,113.33712,87.683769,87.999504,80.001312,64.375801,84.488098,41.440071,33.375389,44.449721999999994,156.35141000000002,27.099192,27.917862,54.130001,52.135529,90.212677,35.333008,43.667835,50.444744,119.561012,68.516068,50.973434000000005
2017-12-04,62.636596999999995,76.645523,10.649405,90.83918,49.344749,29.055104999999998,82.608131,113.651917,87.575066,87.662651,79.506004,64.425003,83.35198199999999,41.172588,32.208836,44.310905,154.862061,26.801727000000003,27.378481,53.52,51.958698,89.419678,35.031017,43.7369,49.6749,119.57093,67.961128,50.695541
2017-12-05,62.030983,75.536293,10.599965,90.182663,48.898509999999995,28.609777,82.182976,112.491096,86.922844,87.20689399999999,69.342392,63.834667,82.126938,40.865475,31.981453000000002,43.963879,154.534409,26.573667999999998,27.288584000000004,53.599998,51.752396000000005,88.55729699999999,34.378326,42.918003000000006,49.704506,115.333504,67.624191,50.417645
2017-12-06,62.259327,75.991875,10.708734,90.461189,48.997673,28.708738,82.588356,113.13053899999998,87.268715,87.65274000000001,68.07441700000001,64.06096600000001,82.581383,40.736686999999996,32.001228000000005,44.162182,156.65919499999998,26.77198,27.258621,53.060001,51.830982,89.122314,34.495228000000004,43.194256,50.227608000000004,115.42281299999999,67.80256700000001,50.705463
2017-12-07,62.219616,75.873024,10.580189,90.600449,49.166256,28.560297,82.736664,113.199394,86.863556,87.672554,71.09575699999999,63.864189,82.69005600000001,40.429577,32.34724,44.261333,157.056351,26.801727000000003,27.698112,52.959998999999996,51.484322,89.36020699999999,34.500153000000005,43.75663,50.66188,115.541901,68.099861,50.457347999999996
2017-12-08,62.735878,76.189949,10.639517999999999,91.038124,49.453835,28.609777,82.934402,113.612572,87.011787,88.098579,71.125488,64.169189,83.02595500000001,40.667339,32.45599,44.558784,157.90031399999998,26.910797,28.217515999999996,53.459998999999996,51.434799,89.954948,33.987873,45.1675,50.395396999999996,115.799927,68.337692,50.814636
2017-12-11,63.202503,76.338509,10.738398,91.76429,49.671997,28.5504,83.191475,114.10443899999999,87.328011,88.831749,72.294403,64.64145699999999,83.559441,41.529228,32.762454999999996,44.697601,158.118759,26.950459999999996,29.096502,53.709998999999996,51.900318,90.420837,34.106091,42.380001,51.007324,117.1297,68.545799,51.05283
