Date,AFL,AIG,AIZ,AJG,ALL,AMG,AMP,AON,AXP,BAC,BBT,BEN,BHF,BK,BLK,BRK.B,C,CB,CBOE,CFG,CINF,CMA,CME,COF,DFS,ETFC,FITB,GS,HBAN,HIG,ICE,IVZ,JPM,KEY,L,LNC,LUK,MCO,MET,MMC,MS,MTB,NAVI,NDAQ,NTRS,PBCT,PFG,PGR,PNC,PRU,RE,RF,RJF,SCHW,SPGI,STI,STT,SYF,TMK,TROW,TRV,UNM,USB,WFC,WLTW,XL,ZION
2017-12-22,87.209999,59.310001,100.38591,62.228618999999995,103.58979000000001,203.87875400000001,170.62333700000002,133.011337,98.392845,29.768296999999997,50.099106,43.91,59.540001000000004,53.775703,509.415039,,75.18499,144.494705,124.169968,42.426868,73.989998,87.739998,144.874985,100.062096,76.79098499999999,49.709998999999996,30.679062,258.245087,14.78,55.282467000000004,70.25,36.313159999999996,106.89315800000001,20.337654,49.598328,77.424973,26.209999,146.602707,50.340408000000004,80.33279399999999,52.490584999999996,172.382675,13.185185,76.089996,98.980003,18.753511,70.666069,54.923618000000005,145.398239,115.204651,217.83093300000002,17.390871,90.386246,51.979908,167.383286,65.394669,97.511284,38.623367,90.539635,105.239998,134.389999,54.561005,54.157837,61.185078000000004,151.209656,35.169998,51.132427
2017-12-26,87.639999,59.43,100.525017,62.536781000000005,103.81864200000001,203.73898300000002,170.21546899999998,132.961456,98.223442,29.668673,49.691959000000004,43.57,59.689999,53.586491,511.00656100000003,,74.477859,144.604172,123.741005,42.317394,74.269997,87.33000200000001,144.83608999999998,99.484619,76.92041800000001,49.5,30.519896999999997,256.998596,14.63,55.700447,70.040001,36.273514,106.46538500000001,20.228205,49.858006,77.166061,26.530001000000002,145.485641,50.251152000000005,80.382568,52.241673,171.306961,13.293826999999999,76.129997,98.699997,18.703953,70.735489,55.05091899999999,144.18426499999998,114.69884499999999,218.60694900000001,17.271416000000002,89.658295,51.770306,166.97438,64.927277,97.023376,38.563590999999995,90.479729,105.360001,134.779999,54.521172,53.710331000000004,60.76756999999999,151.33918799999998,35.240002000000004,50.664234
2017-12-27,87.709999,59.540001000000004,100.644249,62.84494399999999,104.077339,204.348022,170.05629,133.57988,98.781471,29.618858000000003,49.632374,43.43,59.07,53.616367000000004,511.603424,,74.58740999999999,145.459991,124.459274,42.158157,74.550003,87.120003,145.343964,99.315361,76.621735,49.490002000000004,30.5,255.233536,14.59,56.008953000000005,70.269997,36.214054,106.66435200000001,20.138655,49.937908,76.877274,26.43,146.243652,50.330494,81.328369,52.341236,170.88864099999998,13.046914,76.339996,98.68,18.614744,70.477654,55.18800400000001,144.26387,114.381477,218.85566699999998,17.22164,89.399017,51.750347,168.949097,64.847717,97.292221,38.454006,90.539635,105.019997,134.770004,54.521172,53.77,60.588634,151.110001,35.200001,50.514812
2017-12-28,88.230003,60.0,101.031761,63.25251,104.385796,206.18511999999998,170.722824,134.17836,99.349464,29.688596999999998,49.7714,43.529999,59.16,53.895203,515.2440799999999,,74.776649,146.16000400000001,124.549049,42.237774,75.08000200000001,87.290001,145.702469,99.86296800000001,77.159363,49.68,30.639999,255.781998,14.74,56.287605000000006,70.519997,36.442001,107.2314,20.248104,50.077732,77.026649,26.65,147.43051100000002,50.449501,81.607132,52.420891,171.605759,13.204938,76.66999799999999,100.32,18.753511,70.794983,55.334885,144.95047,114.252541,221.43244900000002,17.301277,89.578514,51.939983000000005,169.397919,65.076447,97.810005,38.822609,91.00885799999999,105.339996,135.66000400000001,54.909538,53.950001,60.936558,151.389999,35.369999,51.142387
2017-12-29,87.779999,59.580002,100.197113,62.904587,104.18679,204.927109,168.59388700000002,133.659683,98.960838,29.409645,49.374184,43.330002,58.639998999999996,53.636283999999996,510.99667400000004,,74.10936,146.130005,124.289673,41.779964,74.970001,86.809998,145.443558,99.146103,76.581909,49.57,30.34,254.04686,14.56,56.008953000000005,70.559998,36.214054,106.38580300000001,20.069005999999998,49.967869,76.54866,26.49,147.221069,50.142063,81.02969399999999,52.241673,170.310944,13.155555999999999,76.83000200000001,99.889999,18.535448000000002,69.971901,55.148833999999994,143.57728600000002,114.034355,220.12912000000003,17.201732999999997,89.050003,51.271267,168.949097,64.231163,97.610001,38.46397,90.559601,104.93,135.639999,54.660582999999995,53.580002,60.310294999999996,150.690002,35.16,50.634353999999995
2018-01-02,87.970001,59.5,98.597389,61.80116999999999,101.410736,202.720581,169.03161599999999,131.15606699999998,98.592148,29.788223,49.572788,43.25,57.669998,53.596451,506.28167699999995,,74.059555,142.300003,122.454117,42.476631,73.08000200000001,86.57,144.188766,99.175972,76.57196,49.82,30.43,254.95432999999997,14.6,55.00381899999999,69.849998,36.025745,107.39056399999998,20.069005999999998,49.828041,77.584312,26.780001000000002,145.74496499999998,49.765205,80.044083,51.962887,170.510132,13.461729,76.739998,99.459999,18.634567,69.79340400000001,54.208801,143.905655,114.50048799999999,215.363617,17.291325,88.860001,51.341133,167.672516,64.499664,96.720001,38.713028,90.06043199999999,103.08000200000001,131.979996,54.630711,54.029999,60.72780600000001,146.990005,34.02,50.504852
2018-01-03,88.230003,60.16,98.875603,62.26838299999999,101.47043599999999,201.802032,168.195953,133.25071699999998,99.200005,29.688596999999998,50.109032,43.450001,58.509997999999996,53.925079000000004,511.62335199999995,,74.28862,143.419998,123.262161,42.964294,72.790001,86.540001,146.499146,99.006714,77.13945799999999,50.619999,30.52,252.580978,14.72,54.565937,70.910004,36.20414,107.49999199999999,20.138655,50.407326,77.225815,26.690001000000002,148.467773,50.082558,81.089424,52.102283,172.422516,13.609877,77.660004,100.050003,18.555270999999998,69.942154,54.179424,143.875809,114.54016100000001,218.64674399999998,17.321188,89.800003,51.420982,170.365341,65.31510899999999,97.43,38.972042,90.32,104.489998,132.399994,55.029037,54.560001,61.195018999999995,149.740005,34.43,50.44508
2018-01-04,89.139999,60.400002,99.412155,62.84494399999999,100.29633299999999,198.227661,168.81274399999998,135.07608000000002,100.849998,30.077140999999997,50.71479,43.299999,59.490002000000004,54.462832999999996,518.377441,,75.20491,144.0,123.741005,43.471866999999996,73.620003,87.510002,148.062622,100.978081,77.90606700000001,51.299999,30.629998999999998,256.11105299999997,14.85,55.13319,72.25,36.501465,109.040001,20.218254,50.657013,78.600044,26.84,151.20056200000002,50.935452000000005,81.93566899999999,52.8988,172.751205,13.7679,78.690002,101.550003,18.674215,70.854485,54.16963199999999,143.885757,115.551773,220.63653599999998,17.460554000000002,90.540001,51.710426,172.918518,65.49410999999999,98.480003,39.250984,90.699997,105.309998,132.399994,55.516991000000004,54.98,61.960457,151.259995,35.240002000000004,50.654274
2018-01-05,89.730003,60.650002,100.664124,63.133221,101.360985,199.156204,169.389755,136.22316,101.08000200000001,30.216616,50.87368,43.57,60.630001,54.602256999999994,522.794006,,75.105316,144.259995,127.292419,43.670914,74.0,88.470001,149.028595,100.988045,77.816467,51.470001,30.709999,254.80474900000002,14.98,54.894348,72.849998,36.947449,108.339996,20.228205,50.557137,78.75936899999999,26.879998999999998,153.713913,51.411484,82.50314300000001,52.878887,172.133667,13.837036999999999,79.209999,102.0,18.773335999999997,71.399902,54.375263000000004,144.064865,116.712151,221.21356200000002,17.41078,90.949997,51.910038,175.23233000000002,65.543839,98.57,39.589698999999996,91.059998,107.230003,132.16000400000001,55.755989,55.32,62.377964,152.229996,34.650002,50.674194
2018-01-08,89.959999,60.25,99.06438399999999,63.172985,100.883385,200.214539,171.11080900000002,136.233124,100.150002,30.007402000000003,51.141804,43.919998,60.490002000000004,54.831299,526.693298,,74.22886700000001,143.529999,129.217773,43.850056,73.66999799999999,88.720001,151.09996,100.360786,77.229057,51.77,30.700001,251.105133,14.95,54.516174,73.120003,36.511375,108.5,20.178455,50.517189,78.610001,27.25,154.66142299999998,51.550323,81.627037,52.659843,171.735245,13.520988000000001,79.959999,102.5,18.80307,71.608154,54.541729000000004,144.333542,116.642723,217.631958,17.390871,91.690002,52.139599,176.70838899999998,65.98138399999999,99.650002,39.111511,91.33000200000001,109.879997,131.449997,56.233982,55.400002,61.672173,151.41000400000001,34.459998999999996,50.425159
