Date,AAPL,ADSK,ALB,ALGN,AMOT,AMZN,ANSS,APTV,AVAV,BB,BCG,BIDU,BYDDY,CGNX,CSOD,DE,DMLRY,ESLT,FANUY,GBTC,GELYY,GM,IFNNY,JD,MTLS,MZOR,NNDM,NVDA,ONVO,PLUG,PRLB,RKUNY,ROK,SFTBY,SPLK,SSYS,TCEHY,TER,TM,TRMB,TSLA,TWOU,WMT,XLNX,XONE
2017-11-21,172.436951,127.709999,136.36377,256.429993,32.130001,1139.48999,153.399994,85.433601,45.080002,10.54,5770.0,244.30000299999998,19.84,72.369316,37.150002,138.703201,20.735001,139.710342,24.950001,10.672527,75.199997,44.564575,29.387817,39.880001,14.61,61.830002,4.05,215.76591499999998,1.48,2.47,92.5,10.34,192.160782,42.75,83.779999,22.120001000000002,55.900002,43.858517,125.779999,42.040001000000004,317.809998,66.989998,96.01398499999999,72.827393,11.64
2017-11-22,174.249573,127.769997,134.917328,254.38000499999998,32.200001,1156.160034,150.479996,84.411697,45.029999,10.73,5770.0,249.649994,19.549999,71.51503000000001,37.27,144.700439,20.65,141.943314,25.18,10.934066,75.050003,43.890709,28.715193,39.790001000000004,14.5,62.110001000000004,3.95,214.796509,1.51,2.39,92.300003,10.18,190.169693,43.200001,83.529999,22.16,54.889998999999996,43.121227000000005,126.08000200000001,41.950001,312.600006,66.760002,95.90456400000001,71.86245699999999,11.76
2017-11-24,174.259521,129.5,136.72288500000002,254.75999500000003,32.529999,1186.0,151.91000400000001,84.478699,45.0,10.79,6180.0,249.419998,19.07,72.129517,37.529999,144.949493,20.934998999999998,143.179428,25.4,11.802308,72.449997,44.059174,29.298794,39.209998999999996,14.49,62.110001000000004,3.9,216.825256,1.52,2.39,92.449997,10.165,190.627625,44.23,84.099998,22.15,53.73,43.479908,126.050003,42.110001000000004,315.549988,68.910004,96.11346400000001,72.499115,11.7
2017-11-27,173.38308700000002,130.240005,135.894913,262.420013,32.349998,1195.829956,150.880005,84.403397,44.459998999999996,10.88,6200.0,247.020004,18.440001000000002,71.55499300000001,37.259997999999996,148.207123,20.790001,144.594971,25.530001000000002,14.604396,70.599998,43.771786,28.636060999999998,38.66,14.85,61.959998999999996,3.944,214.007004,1.51,2.33,93.050003,10.295,190.18958999999998,43.959998999999996,82.089996,22.360001,53.0,42.82233,125.980003,42.419998,316.809998,67.290001,96.11346400000001,72.111153,11.97
2017-11-28,172.367249,129.949997,136.553299,264.230011,31.950001,1193.599976,150.270004,85.199097,45.75,10.93,6240.0,244.02999900000003,18.700001,71.854744,37.27,148.814819,20.8225,143.65791299999998,25.549999,16.153955,72.690002,44.515026,28.57671,38.57,14.84,62.0,4.05,210.579132,1.54,2.35,95.400002,10.24,196.252487,44.029999,81.41999799999999,22.700001,54.150002,42.902167999999996,126.959999,42.400002,317.549988,67.449997,96.262672,71.792824,12.22
2017-11-29,168.791809,109.339996,131.625443,258.369995,32.360001000000004,1161.27002,146.580002,85.475403,44.990002000000004,10.65,6100.0,235.49000499999997,18.17,67.863091,36.610001000000004,147.87837199999998,20.764999,139.81999199999998,25.25,17.175825,71.58000200000001,43.415034999999996,27.152327000000003,37.830002,14.81,58.119999,4.06,196.298004,1.62,2.29,95.949997,10.185,189.283646,43.540001000000004,79.489998,22.110001,52.0,40.736599,126.550003,41.439999,307.540009,63.98,97.04853100000001,69.017403,12.32
2017-11-30,171.152191,109.699997,133.989624,260.880005,31.91,1176.75,148.190002,87.669899,45.580002,10.77,6100.0,238.580002,17.629998999999998,69.226952,36.970001,149.292999,20.7575,139.5,25.0,16.714285,70.43,42.701527,27.389725,37.450001,14.6,58.150002,3.97,200.585342,1.51,2.37,96.199997,10.3,192.22052,42.450001,80.089996,21.780001000000002,51.18,40.387318,126.339996,41.990002000000004,308.850006,64.099998,96.720268,69.14672900000001,12.19
2017-12-01,170.355438,107.059998,131.824951,254.07000699999998,31.809998999999998,1162.349976,146.53999299999998,86.69830300000001,44.720001,10.79,6100.0,235.07000699999998,17.639999,69.186981,36.799999,149.372696,20.452499,138.360001,25.110001,18.296703,69.839996,42.404232,26.816013,37.27,14.89,57.830002,3.94,197.55722,1.65,2.51,94.5,10.11,189.61218300000002,41.990002000000004,79.699997,21.709999,49.029999,40.028048999999996,124.360001,42.0,306.52999900000003,64.599998,96.83963,67.883362,12.11
2017-12-04,169.11051899999998,107.949997,129.031845,225.80000299999998,31.549999,1133.949951,142.009995,87.360001,44.0,10.44,6000.0,229.66000400000001,17.74,63.256958,35.330002,150.398788,20.5875,139.610001,24.51,20.05489,71.089996,42.661884,26.232412,36.75,14.74,55.73,3.57,186.54406699999998,1.55,2.36,96.0,10.02,189.930756,41.060001,77.68,20.76,48.84,39.159828000000005,123.91999799999999,41.610001000000004,305.200012,58.580002,96.501419,67.803787,11.92
2017-12-05,168.95117199999999,106.589996,127.67518600000001,227.36000099999998,31.959999,1141.569946,143.440002,88.769997,43.25,10.34,5920.0,231.75,17.5,62.837306999999996,35.66,150.09993,20.6,137.33999599999999,24.08,17.295385,70.0,42.414139,26.459916999999997,37.299999,15.24,55.029999,3.41,187.623398,1.49,2.33,97.349998,9.965,186.844543,41.209998999999996,78.010002,21.43,48.02,39.588947,123.68,41.23,303.700012,58.75,97.317123,68.062424,11.66
