Date,ALB,APD,AVY,BLL,CF,DWDP,ECL,EMN,FCX,FMC,IFF,IP,LYB,MLM,MON,MOS,NEM,NUE,PKG,PPG,PX,SEE,SHW,VMC,WRK
2017-11-07,142.777954,158.847992,106.61000800000001,40.946232,36.317046999999995,70.756332,130.55285600000002,90.05246,14.55,93.34724399999999,149.31321699999998,54.76749,105.00426499999999,209.596771,118.99295,22.536341,35.964560999999996,57.3507,110.766869,115.889145,148.183258,43.462608,393.14230299999997,122.41244499999999,58.131462
2017-11-08,144.22438,160.011246,107.317154,40.637015999999996,37.193222,70.428108,129.994553,90.032578,14.86,93.077713,146.864319,54.797226,104.94478600000001,212.75010699999999,116.84283400000001,22.616257,36.233996999999995,57.360641,110.82656100000001,115.66999799999999,149.19801299999997,44.648582,394.638977,123.64993999999999,58.516045
2017-11-09,140.493576,159.62348899999998,105.33515200000001,40.218078999999996,36.563164,69.851242,129.85498,89.426338,14.72,91.999596,146.07788100000002,54.450283,103.28922299999999,212.500641,116.803017,22.476404000000002,35.804897,56.187583999999994,108.657974,115.129997,147.695786,44.618687,386.177643,124.42836000000001,58.635242000000005
2017-11-10,140.274124,159.37493899999998,104.767441,39.878937,36.700989,69.59264399999999,129.904831,90.191597,14.41,93.05774699999999,146.10775800000002,54.370982999999995,103.35862,212.80000299999998,117.758629,22.816048000000002,35.445652,55.50164,109.69252,114.66999799999999,147.516708,44.200103999999996,388.602295,123.839546,58.267715
2017-11-13,143.017349,161.820724,107.50639299999999,40.208103,36.789592999999996,70.079994,131.240768,90.867416,14.43,94.71485899999999,149.044434,53.915001000000004,103.28922299999999,212.021652,117.60931399999998,23.255587,35.63525,55.372406000000005,111.771584,114.550003,147.387375,44.827976,388.851746,123.739754,58.446514
2017-11-14,137.311417,161.214249,107.73546599999999,39.888912,35.251315999999996,68.57,131.001495,89.684738,13.8,92.848114,149.97023000000002,54.330002,102.843109,211.712311,117.509773,22.97588,36.204056,54.537346,112.119743,114.349998,146.870056,44.947567,388.27304100000003,123.66989099999999,58.267715
2017-11-15,134.209076,159.931702,107.267357,39.280457,35.05283,68.970001,129.835037,88.998985,13.63,91.959663,147.282425,53.889998999999996,101.613831,205.74491899999998,116.72338899999998,22.356529000000002,36.004478000000006,54.616875,111.264252,113.389999,145.417572,44.798077,385.11001600000003,121.314659,58.367045999999995
2017-11-16,134.997131,160.249847,107.815147,40.417572,35.896397,70.68,131.589706,89.595291,13.62,93.157578,147.919525,54.07,102.307777,208.93817099999998,118.05725100000001,22.456425,36.014458000000005,54.467757999999996,111.284149,114.010002,148.272797,45.425948999999996,388.02999900000003,123.60003700000001,58.75444
2017-11-17,135.874985,160.647552,107.85498799999999,39.878937,35.211617,70.739998,131.051346,89.187813,13.86,92.77823599999999,148.078812,54.209998999999996,103.00173199999999,207.281677,117.78849,22.915943,36.134205,54.477695,111.881004,113.83000200000001,149.86456299999998,45.565475,386.980011,122.79167199999999,59.1021
2017-11-20,135.066956,160.637604,110.255302,39.639545,35.509346,70.849998,131.72929399999998,89.49591099999999,13.95,92.508705,149.263443,54.150002,103.36853,208.29953,117.54958300000001,23.00585,36.253956,55.233231,111.184669,114.879997,150.093369,44.857872,387.690002,123.620003,58.05911999999999
2017-11-21,136.36377,161.35343899999998,109.976425,39.499897,36.174282,71.260002,132.04830900000002,90.450005,14.15,94.255661,151.025467,54.709998999999996,102.92241700000001,207.002274,117.93780500000001,23.585241,36.293869,55.65075699999999,111.453255,115.339996,150.570908,44.987434,390.130005,122.739998,58.267715
2017-11-22,134.917328,160.687302,110.65369399999999,39.420101,36.035343,70.599998,132.58668500000002,90.340675,14.24,93.007835,150.298752,54.75,102.525879,206.692917,117.67899299999999,23.864946,36.63316,55.819759,111.483101,115.269997,150.938995,45.156859999999995,390.559998,122.849998,58.396846999999994
2017-11-24,136.72288500000002,160.627655,111.251282,39.839039,35.668137,71.160004,132.457077,90.579201,14.35,94.445328,151.692444,54.919998,103.43791999999999,205.4655,117.589401,23.824989000000002,36.603221999999995,55.601051,110.88623799999999,116.099998,152.09303300000002,45.415981,394.02999900000003,122.32,58.466381000000005
2017-11-27,135.894913,160.011246,111.47040600000001,39.938786,35.648289,70.129997,132.40721100000002,90.330742,14.09,93.646721,150.786545,55.040001000000004,103.477577,201.394135,117.828308,23.455376,37.022343,55.521522999999995,110.836502,115.849998,151.29715,46.402637,390.209991,119.629997,58.297516
2017-11-28,136.553299,162.297974,111.550079,39.47995,36.174282,71.089996,133.84285,91.125816,14.21,94.33551800000001,153.753082,55.580002,104.032738,203.918793,118.13688700000002,24.064737,37.062259999999995,55.94899399999999,112.35848999999999,117.339996,155.555115,47.000607,397.540009,121.660004,58.883568000000004
2017-11-29,131.625443,161.681534,111.43056499999999,39.459998999999996,36.571255,71.779999,134.590576,90.847542,14.01,93.047768,153.862595,55.52,104.102135,208.070007,117.17132600000001,24.364422,36.523388,57.02264,114.48728200000001,117.010002,154.37124599999999,47.18,393.959991,124.860001,59.857014
2017-11-30,133.989624,162.099106,113.66156799999999,39.91,37.186565,71.959999,135.50778200000002,91.801636,13.92,94.23569499999999,154.738632,56.610001000000004,103.79480699999999,208.389999,117.79843899999999,24.264528,36.912575,57.161818999999994,117.978897,116.849998,153.12767,48.049999,399.420013,125.650002,61.992638
