Date,AFL,AIG,AIZ,AJG,ALL,AMG,AMP,AON,AXP,BAC,BBT,BEN,BHF,BK,BLK,BRK.b,C,CB,CBOE,CFG,CINF,CMA,CME,COF,DFS,ETFC,FITB,GS,HBAN,HIG,ICE,IVZ,JPM,KEY,L,LNC,LUK,MCO,MET,MMC,MS,MTB,NAVI,NDAQ,NTRS,PBCT,PFG,PGR,PNC,PRU,RE,RF,RJF,SCHW,SPGI,STI,STT,SYF,TMK,TROW,TRV,UNM,USB,WFC,WLTW,XL,ZION
2017-11-14,83.781204,61.132374,98.287498,64.717751,99.573486,182.861877,156.297775,143.175446,93.430359,26.128656,46.552799,40.615795,55.380001,51.634632,468.103333,,71.24099,149.958054,116.33966799999999,37.888596,73.072212,78.43158000000001,136.313843,85.625275,63.587837,43.869999,28.460698999999998,236.49681099999998,13.506323000000002,55.9762,67.110962,34.162518,96.765915,18.144363000000002,49.877148,73.13299599999999,25.222839,142.39326499999999,51.570159999999994,83.229912,48.169472,159.997253,12.195986,75.600883,92.243942,18.119144,67.857033,50.213642,131.347992,107.916046,224.81216400000002,15.605845,82.797554,44.504298999999996,158.9021,57.252113,90.919586,32.436855,85.03877299999999,93.955322,133.141876,52.589279000000005,51.542431,53.719604000000004,161.463684,38.762329,46.311058
2017-11-15,83.950226,60.814083,98.29744000000001,64.946404,100.011871,184.47933999999998,156.57634,142.467255,92.932114,26.676325,46.532921,40.237784999999995,54.970001,51.724258,468.153076,,71.440186,150.42576599999998,115.25210600000001,37.958263,73.121544,78.600975,135.79853799999998,87.24816899999999,64.637566,43.759997999999996,28.31148,236.865646,13.407084,56.424248,66.343117,34.172428000000004,97.681152,18.035,49.62746,73.640862,25.173033,141.219437,51.411484,82.77195,47.890685999999995,160.50499,12.452744000000001,75.561073,92.881203,18.039848000000003,68.09536700000001,50.575951,132.243546,108.566147,227.93386800000002,15.715257000000001,82.558228,44.454395,158.423294,57.39117099999999,91.467239,32.406967,85.22845500000001,93.826042,132.99269099999998,52.668944999999994,51.721428,53.431324,162.081512,38.990925,46.321018
2017-11-16,83.820976,59.739841000000006,96.945183,65.443466,99.204842,185.198196,156.267944,140.921188,93.23105600000001,26.64645,46.483230999999996,40.337261,55.419998,52.013054,471.655518,,71.380424,148.136932,115.76096299999999,37.739311,72.608482,78.142601,136.206894,86.770264,64.19193299999999,44.02,28.321428000000004,238.620117,13.297922,55.767109,65.894386,34.261623,97.959694,18.025057,49.138081,73.700615,24.953875,143.338303,51.113964,82.542969,48.388512,159.160965,12.600873,75.600883,93.309364,17.95064,67.916611,50.497612,131.835587,108.713898,224.15600600000002,15.615792,83.066795,44.554203,159.700104,57.331577,92.004929,33.253754,84.869057,94.999489,130.108246,53.027439,51.522541,54.27628299999999,159.371017,38.434338000000004,45.932518
2017-11-17,83.36364,59.739841000000006,98.058807,65.582642,99.802643,185.797256,157.46173100000001,140.821442,93.360603,26.507046000000003,46.532921,40.267628,55.669998,52.25206,471.625671,,71.041801,147.908051,116.21994,37.988116999999995,72.480209,78.85009000000001,135.623535,87.447304,64.429604,44.18,28.301534999999998,237.274353,13.436856,55.896544999999996,66.402946,34.667969,97.63140899999999,18.204016,49.158054,73.969482,25.033567,146.024216,51.223053,81.985443,48.488075,159.85788,12.33424,75.580978,93.667824,18.010111,68.164879,50.478027000000004,132.193802,108.59569499999999,225.001068,15.715257000000001,83.545448,44.594128000000005,160.188873,57.381237,91.915306,33.731937,85.29834,95.446991,129.223007,53.236561,51.592152,53.828953000000006,159.51054399999998,38.394585,46.121788
2017-11-20,84.188828,59.371811,98.019035,65.622414,99.952087,186.386322,159.819473,141.68923999999998,93.619682,26.626534999999997,46.69194,40.546158,55.459998999999996,52.301849,472.40176399999996,,71.758888,148.27626,118.963799,38.067741,72.450615,79.517723,137.966721,87.88537600000001,65.182243,44.450001,28.420906,237.38401800000003,13.466626999999999,55.607803000000004,67.888763,35.143684,98.496902,18.353148,49.287888,73.869904,25.52169,147.91922,51.540409000000004,82.562881,48.896294,160.89326499999999,12.660124,76.516411,94.026291,18.168703,68.343636,50.742413,132.631622,108.36914099999998,222.535507,15.774934,84.48281899999999,45.033279,161.784882,57.778544999999994,92.662102,33.731937,84.938934,95.765213,129.073822,53.654807999999996,51.641872,53.729542,159.331161,38.484035,46.918704999999996
2017-11-21,84.58651,59.31213399999999,97.840057,66.566826,99.334358,190.03057900000002,158.93408200000002,141.080795,94.07807199999999,26.616577000000003,46.284454,41.361858000000005,56.91,52.202263,478.958893,,72.08755500000001,148.455368,119.3629,37.719409999999996,72.480209,79.119141,138.627884,87.566772,65.35149399999999,44.900002,28.331377000000003,237.274353,13.446779999999999,55.846764,68.08820300000001,35.312172,98.41731300000001,18.174191,49.317852,73.192741,25.571497,149.066193,51.282555,83.080574,49.165119,159.479553,12.432993,76.864708,94.05615999999999,18.029936,68.075508,50.79137,132.45251499999998,108.40853899999999,220.954773,15.576007,84.911621,45.991440000000004,163.291092,57.34150699999999,92.662102,33.642277,85.12861600000001,97.187271,129.929214,53.644847999999996,51.602097,54.196757999999996,159.241486,38.066593,46.709515
2017-11-22,84.556686,58.914265,97.85000600000001,66.22882800000001,98.935837,189.691116,158.75502,138.886383,93.490143,26.546875,46.204948,41.182804,57.450001,52.212223,476.550995,,71.96804,147.529892,119.083527,37.649741999999996,71.690895,79.059349,137.937546,86.879784,65.21210500000001,44.740002000000004,28.271690000000003,235.689331,13.436856,55.538105,67.469948,34.915737,98.128815,18.054884,49.297878000000004,73.282364,25.262688,149.006348,51.282555,82.28411899999999,48.876381,159.210754,12.294739,76.795052,93.986458,18.039848000000003,67.92654399999999,50.605323999999996,132.38284299999998,108.053947,217.962326,15.476544,84.732124,45.711975,162.812302,57.232245999999996,92.27377299999999,33.542652000000004,85.028786,97.17733,129.312531,53.674725,51.621986,53.739487,158.235001,38.016899,46.171593
2017-11-24,84.506973,58.715328,97.860001,65.00605,98.716637,190.070511,158.735107,138.277924,93.151344,26.477172999999997,46.055865999999995,40.993797,57.290001000000004,52.013054,477.34698499999996,,71.729004,148.20658899999998,119.86178600000001,37.570122,71.542885,78.391716,137.927841,86.99925999999999,65.112549,44.869999,28.052839000000002,235.210831,13.357466,55.398716,67.639465,34.776984999999996,97.81047099999999,18.035,49.287888,72.834244,25.581459,149.834152,51.401565999999995,81.975487,48.846512,158.43421899999998,12.186110000000001,76.874664,93.85701800000001,17.960552,68.174812,50.77179,131.905228,108.024193,216.401459,15.486489,84.71217299999999,45.692013,163.729996,56.825005000000004,92.064667,33.363338,85.01880600000001,97.336433,129.133499,53.86393,51.542431,53.76930600000001,158.96246299999999,37.847935,46.171593
2017-11-27,84.944427,58.446766000000004,97.970001,65.32416500000001,99.045433,192.376877,158.426712,137.769211,93.141373,26.477172999999997,46.204948,40.963955,57.610001000000004,51.963260999999996,479.555908,,71.101555,148.534988,120.230965,37.450695,72.430885,78.361824,138.13201899999999,86.491486,65.052811,45.130001,28.251795,234.37347400000002,13.397160999999999,55.558021999999994,67.90870699999999,34.886005,97.422493,18.01,49.5975,72.953751,25.571497,149.475098,50.945366,82.134781,48.786770000000004,158.792618,11.8306,76.85476700000001,93.707657,18.010111,68.204605,50.987213,131.905228,108.609344,221.770004,15.436759,85.051224,45.682034,164.399994,56.954131999999994,90.969376,33.084393,85.59783900000001,97.42594100000001,129.780014,53.71455400000001,51.433040999999996,53.630138,157.94603,38.613239,46.241322
2017-11-28,85.76960799999999,59.501118000000005,99.959999,66.238762,100.519997,196.320679,160.91378799999998,139.584595,94.94500699999999,27.522717,47.238566999999996,41.948761,58.009997999999996,52.909317,490.600555,,73.402222,150.83377099999998,122.44600700000001,38.595215,73.259682,80.544083,141.097473,89.358932,67.332741,46.310001,29.08741,238.66000400000001,13.863581,56.44416,69.155197,35.678867,100.834717,18.48,50.110001000000004,74.51718100000001,26.408274,150.482452,52.21479,83.249825,50.180679,163.611145,12.304614,77.959366,95.878334,18.545359,69.565125,51.682449,135.009811,111.90203899999999,225.00999500000003,15.914183999999999,86.79632600000001,47.0494,165.830002,59.039997,92.74176,34.359553999999996,87.384872,99.196053,132.296432,54.999165000000005,52.725826,55.240531999999995,158.84288,38.792145,47.904896
