Date,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2017-11-28,58.851414,67.26211500000001,26.755745,72.227623,64.46961999999999,54.842403000000004,33.124565000000004,55.859303000000004,82.11174799999999,95.425224
2017-11-29,58.940975,67.629677,27.213619,72.864159,63.04493299999999,55.130264000000004,33.045437,55.889027,82.520111,95.833839
2017-11-30,59.269367,68.642921,27.392788,74.107407,63.602856,55.636501,33.084998999999996,56.077270999999996,83.13765,96.322174
2017-12-01,58.78175400000001,69.219086,27.452509000000003,73.192375,63.274078,55.775467000000006,33.144344,55.889027,82.96833000000001,96.28231
2017-12-04,59.38877900000001,69.189285,27.870566999999998,73.80902900000001,62.25787,56.301559,32.709145,55.57198,81.95238499999999,97.398514
2017-12-05,59.09024399999999,68.891273,27.721262,73.182434,62.27779399999999,56.212223,32.580563,54.868538,81.812943,96.840408
2017-12-06,58.741951,67.99722299999999,27.621723,73.29184000000001,62.676308,56.569568999999994,32.63002,55.076599,81.743217,96.212547
2017-12-07,59.139998999999996,68.1959,27.711308000000002,73.968163,63.064861,56.023621,32.758598,55.175674,81.763138,96.4617
2017-12-08,59.139998999999996,68.821732,27.880521999999996,74.286438,63.363747,56.172516,32.837727,55.354012,82.679482,96.920135
2017-12-11,59.219607999999994,69.318428,27.810846,74.137245,63.911705000000005,56.16259399999999,32.916855,55.690872,83.02808399999999,97.129425
2017-12-12,59.229561,69.129677,28.08955,74.216812,63.891773,56.172516,33.065220000000004,54.739738,83.356773,97.169289
2017-12-13,59.38877900000001,69.030342,27.741169,74.50524899999999,63.911705000000005,56.490157999999994,33.055325,54.888355000000004,83.645622,97.249016
2017-12-14,58.731998,68.781998,27.562002000000003,73.998001,63.832001,56.242001,33.084998999999996,54.819,82.798996,97.547997
2017-12-15,59.080002,68.720001,27.809998999999998,74.519997,64.559998,56.880001,33.189999,55.02,83.709999,97.970001
2017-12-18,59.950001,69.25,28.059998999999998,75.050003,65.129997,56.849998,33.299999,54.41,83.739998,98.849998
2017-12-19,59.880001,69.349998,27.940001000000002,75.07,64.730003,56.919998,32.669998,53.419998,83.639999,98.720001
2017-12-20,59.900002,70.33000200000001,27.889999,75.32,64.709999,56.82,32.32,53.0,83.370003,98.529999
2017-12-21,60.110001000000004,71.82,28.129998999999998,75.379997,64.58000200000001,56.779999,32.209998999999996,52.369999,83.18,99.16999799999999
2017-12-22,60.34,71.970001,28.049999,75.400002,64.540001,56.869999,32.419998,52.450001,82.910004,98.980003
2017-12-26,60.290001000000004,72.599998,27.969998999999998,75.480003,64.110001,57.0,32.59,52.139998999999996,82.93,99.199997
2017-12-27,60.369999,72.360001,28.0,75.660004,64.18,56.990002000000004,32.720001,52.360001000000004,83.07,99.0
2017-12-28,60.639998999999996,72.470001,28.110001,75.809998,64.290001,56.900002,32.91,52.650002,83.190002,99.269997
2017-12-29,60.529999,72.260002,27.91,75.66999799999999,63.950001,56.889998999999996,32.939999,52.68,82.68,98.690002
2018-01-02,61.389998999999996,73.449997,27.92,76.120003,64.739998,56.540001000000004,32.75,52.189999,83.610001,100.190002
2018-01-03,61.82,74.550003,28.07,76.529999,65.279999,56.52,32.759997999999996,51.779999,84.410004,100.650002
2018-01-04,62.360001000000004,75.0,28.33,77.089996,65.610001,56.68,32.200001,51.349998,84.529999,100.980003
2018-01-05,62.860001000000004,74.970001,28.41,77.620003,66.300003,56.93,32.27,51.330002,85.25,101.779999
2018-01-08,62.950001,75.41999799999999,28.370001000000002,77.940002,66.550003,57.07,32.490002000000004,51.810001,84.940002,101.900002
2018-01-09,62.849998,75.230003,28.59,78.440002,66.379997,56.990002000000004,32.119999,51.299999,85.940002,102.099998
2018-01-10,62.470001,75.139999,28.83,78.43,66.150002,56.709998999999996,31.620001000000002,50.740002000000004,85.790001,102.029999
2018-01-11,63.290001000000004,76.68,28.969998999999998,79.43,66.41999799999999,56.630001,31.42,50.549999,86.160004,103.690002
2018-01-12,63.389998999999996,77.41999799999999,29.23,80.16999799999999,66.809998,56.650002,31.190001000000002,50.259997999999996,86.82,105.029999
2018-01-16,62.650002,76.440002,29.15,79.449997,66.550003,56.91,31.34,50.150002,87.25,104.279999
2018-01-17,62.939999,77.110001,29.370001000000002,79.889999,67.550003,57.560001,31.52,50.459998999999996,88.089996,104.779999
2018-01-18,62.900002,76.480003,29.33,79.459999,67.66999799999999,57.389998999999996,31.219998999999998,50.139998999999996,88.110001,104.690002
