Date,AEE,AEP,AES,AWK,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EXC,FE,LNT,NEE,NI,NRG,PCG,PEG,PNW,PPL,SCG,SO,SRE,WEC,XEL
2017-11-07,62.418179,73.855331,10.392317,89.114418,48.91,29.373762,80.643929,111.933784,88.481987,86.20111800000001,78.654083,64.046906,84.922791,40.567161999999996,32.762454999999996,43.795319,154.511536,27.23801,28.387320000000003,56.299999,49.542904,88.933975,36.794918,43.933735,51.142456,119.60014299999999,67.106461,49.653442
2017-11-08,62.209686,74.179466,10.392317,89.352051,49.130001,29.373762,80.13859599999999,112.310837,88.353264,86.36823299999999,79.446564,64.156097,85.199409,40.61631,33.345734,43.696166999999996,153.945114,27.287588,27.987779999999997,55.830002,49.790867,89.003365,36.508152,42.651146000000004,51.191897999999995,120.106255,67.037621,49.871788
2017-11-09,62.368538,74.76379399999999,10.184669,88.83976700000001,49.279999,29.236452000000003,80.4953,112.340607,88.749329,86.171631,79.585251,64.20573399999999,85.377235,40.439372999999996,33.217213,43.72591,154.27304099999998,27.287588,27.788009999999996,55.950001,49.860294,88.606865,36.349937,44.0028,51.429214,120.45358300000001,67.096634,50.129829
2017-11-10,62.030983,74.060631,10.115452000000001,88.272766,49.27,28.844148999999998,80.069237,111.57658400000001,88.016602,85.70961,79.307884,63.600204000000005,84.102806,40.596649,33.494026,43.309475,154.18360900000002,26.970290999999996,28.3174,56.950001,49.969398,87.566063,35.885185,43.351634999999995,50.786476,120.20549,66.791771,49.822163
2017-11-13,62.93444100000001,75.397636,10.698845,89.04866,49.630001,29.059915999999998,81.09970899999999,113.352676,88.996872,86.810585,80.338112,64.285149,85.59458199999999,41.373199,33.820263,43.924217,155.79341100000002,27.089277000000003,28.746906,56.889998999999996,50.247116,89.003365,36.22139,44.0028,51.241337,121.029152,67.7332,50.407722
2017-11-14,64.07618000000001,76.645523,10.718622,90.232391,50.549999,29.373762,82.080627,114.68227399999999,90.19498399999999,88.138214,81.863647,65.327446,86.365173,41.994846,34.650696,44.796753,157.403214,27.347082,28.886745,56.610001000000004,51.298477,90.90654,36.656483,43.904140000000005,51.725868,121.297096,68.90255,51.410118
2017-11-15,63.589703,75.85321,10.748285000000001,89.347084,50.220001,29.045208000000002,81.47622700000001,113.580894,89.690002,87.20689399999999,81.071159,64.523384,85.387123,41.380627000000004,34.38377,44.330738000000004,156.369766,27.009953000000003,29.336229,55.630001,50.891819,89.984688,36.142281,43.795612,51.340221,119.49099,68.139503,50.794788
2017-11-16,63.182643999999996,76.02158399999999,10.649405,89.217766,50.169998,28.728531,81.208702,113.10462199999999,89.209999,86.552994,80.98201,64.414192,84.863518,40.855571999999995,34.245365,44.251419,156.300201,27.089277000000003,29.406146999999997,55.150002,50.96125,89.984688,35.815964,44.397446,51.359997,118.94518300000001,68.149406,50.794788
2017-11-17,62.845089,75.64523299999999,10.491197,88.551292,49.59,28.698843,80.57457,112.04293100000001,88.519997,85.730659,80.130089,63.739178,85.46615600000001,40.875381,34.255253,44.023369,155.05806,26.851303,29.456089000000002,54.0,51.080269,89.26108599999999,35.855515000000004,42.868198,50.970001,118.59785500000001,67.574646,50.506969
2017-11-20,62.706093,75.704666,10.481309,87.914658,49.41,28.817596,80.40612800000001,111.358299,88.660004,85.205559,79.674408,63.371894999999995,84.61653100000001,40.964542,34.156391,43.884555999999996,154.938828,26.861219000000002,29.286284999999996,52.650002,51.1497,88.567215,35.509422,42.09864,51.18,117.89328,67.366539,50.209229
