Date,ADM,BF.b,CAG,CHD,CL,CLX,COST,COTY,CPB,CVS,DPS,EL,GIS,HRL,HSY,K,KHC,KMB,KO,KR,MDLZ,MKC,MNST,MO,PEP,PG,PM,SJM,STZ,SYY,TAP,TSN,WBA,WMT
2017-11-07,39.222012,,33.573223,43.382118,70.534065,128.945923,165.345581,14.344985999999999,45.890289,68.524117,83.959633,121.84936499999999,50.554577,31.332664,105.33860800000001,60.348179,77.559761,111.041229,45.566421999999996,21.095491,41.000374,94.695389,57.919998,63.735645,109.70889299999999,86.32193000000001,102.000473,100.344696,214.95675699999998,52.27774,78.46843,72.822662,67.133774,88.483665
2017-11-08,39.479919,,34.120182,44.066158,72.89183,130.28808600000002,168.100021,14.652733,46.813454,68.563873,85.08266400000001,122.70676399999999,51.814228,31.979212,107.108002,62.312176,78.948654,112.33091,45.80447,21.630058,41.38839,95.939026,58.0,64.013145,111.228348,86.917389,102.069778,101.932152,217.101547,53.659485,79.214516,73.729332,68.102432,89.786804
2017-11-09,39.281528,,33.772118,43.620045000000005,72.533691,129.920227,168.159683,16.677906,45.304623,68.593681,85.162178,123.404633,51.357975,31.780272999999998,107.12788400000001,62.76845600000001,78.780006,112.39043400000001,45.854065000000006,21.729052,41.139664,95.023712,58.68,63.933865000000004,110.711929,87.115875,101.446014,101.932152,217.60034199999998,53.699249,80.109825,73.549995,68.735023,89.826599
2017-11-10,39.608875,,34.607471000000004,44.363566999999996,72.832138,131.282272,170.39703400000002,16.191467000000003,47.071540999999996,70.551514,85.788292,124.23211699999999,52.845749,32.158257,107.95293400000001,64.176971,79.08754,113.233681,46.161545000000004,21.857742000000002,41.736614,96.426529,61.16,64.439301,111.973183,87.493004,102.000473,103.442261,218.139023,53.868237,79.920815,73.86882,70.574188,90.443344
2017-11-13,39.420403,,34.647251000000004,45.146747999999995,73.319611,134.294647,170.49649,16.628270999999998,46.922646,71.038498,86.49391899999999,125.936935,52.538277,32.277618,107.535439,63.244576,79.216507,114.493599,46.34008,21.917137,41.836102000000004,96.466324,62.200001,65.251984,113.254295,88.326645,102.485626,105.796829,220.22393799999998,53.699249,80.418205,75.313515,69.957825,90.512978
2017-11-14,39.470001,,35.671551,45.535,73.080849,134.523315,170.47659299999998,16.826818,47.458679,70.004921,87.279053,125.63784,53.678902,32.804802,109.20542900000001,64.653099,78.750237,113.640427,47.044308,21.922114999999998,42.31366,98.078079,62.630001,65.142967,114.96243999999999,88.197632,101.703445,107.48576399999999,217.560425,54.603848,80.099876,75.791763,70.176529,90.61245
2017-11-15,38.959998999999996,,34.985371,44.210957,72.10591099999999,132.008026,168.050308,16.697762,46.078891999999996,69.368874,86.792076,124.23211699999999,52.101859999999995,32.904274,106.779968,63.224739,78.154999,112.52932,46.429348,21.513939,41.736614,95.998711,61.599998,64.67716999999999,114.30698400000001,87.562469,101.040077,105.816704,216.63269,53.778774,78.378906,75.931252,69.788811,89.359062
2017-11-16,39.189999,,35.422932,44.937687,72.255135,133.75778200000002,170.523682,16.727545000000003,47.964931,69.826027,86.583366,125.258995,53.23257099999999,32.755066,109.046379,64.752289,79.68,113.987648,46.171459000000006,22.18096,41.975390999999995,99.043137,62.0,65.29162600000001,114.43609599999999,88.574753,101.64404300000001,115.890701,216.81224100000003,54.156517,79.075249,76.977409,70.882378,99.09773299999999
2017-11-17,39.419998,,35.512436,44.549434999999995,71.518951,132.73378,170.523682,16.92609,49.354645,70.243431,86.722504,124.31188200000001,53.282166000000004,32.944057,108.449959,64.831642,79.629997,113.412254,45.338291,23.305937,42.084831,98.82425699999999,62.169998,65.82680500000001,113.889885,87.76095600000001,101.624229,113.44670900000001,215.764786,54.564083,79.264259,77.684814,70.83266400000001,96.959007
2017-11-20,39.200001,,35.572105,44.479748,71.698029,133.807495,171.820221,16.975727,49.563099,69.94528199999999,86.692688,124.80039199999999,53.797928000000006,33.222572,109.444,65.030022,79.93,114.434074,45.090324,23.096870000000003,41.895798,99.570442,61.16,65.242073,114.118301,87.602165,101.525223,113.26788300000001,217.051666,54.64360799999999,78.78675799999999,78.671188,70.36541700000001,96.968956
