Date,AAPL,ADSK,AMZN,APTV,ATHN,BABA,BB,BCG,BIDU,BLUE,CERS,CGEN,CRM,EDIT,FB,FMI,GBTC,GOOG,HDP,ILMN,IONS,JD,JUNO,LC,MCRB,MDSO,MGTI,MTLS,NFLX,NSTG,NTDOY,NTLA,NVDA,NVTA,ONVO,PACB,PRLB,PYPL,RDFN,RHT,SFTBY,SPLK,SQ,SSYS,SYRS,TCEHY,TER,TREE,TSLA,TWOU,TWTR,VCYT,VLKAY,XLNX,XONE
2017-04-13,139.41953999999998,84.910004,884.669983,61.157185,110.16999799999999,110.209999,8.64,4770.0,172.610001,86.199997,4.11,4.25,83.129997,20.48,139.389999,32.299999,1.318791,823.5599980000001,10.62,173.679993,42.27,32.470001,24.01,5.46,10.62,60.299999,0.755,9.0,142.919998,19.280001000000002,28.912214000000002,13.92,95.239456,10.48,2.83,4.85,49.650002,42.549999,,85.93,35.33522,59.490002000000004,16.92,21.0,14.57,29.560946,30.817703,,304.0,41.740002000000004,14.3,8.16,28.768194,54.521637,9.43
2017-04-17,140.190521,85.989998,901.98999,61.953281000000004,111.019997,111.760002,8.77,4660.0,173.309998,88.25,4.18,4.25,84.199997,20.790001,141.419998,34.299999,1.351648,837.169983,10.67,174.419998,42.16,32.720001,24.25,5.46,9.98,60.380001,0.779,9.22,147.25,19.66,30.378269,14.49,98.96965,10.5,2.77,4.8,50.0,43.099998,,86.16999799999999,35.085815000000004,60.139998999999996,17.08,21.299999,14.95,29.700621,31.185646000000002,,301.440002,41.720001,14.4,8.3,28.876755,54.746853,9.68
2017-04-18,139.567795,86.410004,903.7800289999999,61.65478100000001,112.309998,111.230003,8.73,4640.0,174.470001,83.599998,4.16,4.1,83.709999,19.42,140.96000700000002,32.400002,1.386044,836.820007,10.63,175.28999299999998,42.34,32.84,23.83,5.65,9.66,60.48,0.74,9.04,143.360001,18.99,30.507922999999998,14.41,99.029488,10.39,2.69,4.88,50.549999,43.09,,86.739998,35.325245,61.099998,16.98,23.77,15.35,29.311527,31.096146,,300.25,41.82,14.44,8.13,29.962346999999998,55.314793,9.72
2017-04-19,139.053818,87.93,899.2000119999999,62.500583999999996,115.019997,110.760002,8.93,4630.0,177.809998,83.949997,4.2,3.95,83.5,19.25,142.270004,32.299999,1.3791209999999998,838.210022,10.61,178.029999,41.869999,33.360001000000004,24.610001,5.72,9.43,60.66,0.759,9.18,139.759995,18.99,31.265882,14.19,99.418465,10.37,2.62,4.75,50.700001,43.299999,,87.269997,35.903858,61.630001,17.200001,23.92,15.17,29.341459000000004,31.702755,,305.519989,43.220001,14.54,8.11,30.515010999999998,55.54979300000001,9.67
2017-04-20,140.79345700000002,88.410004,902.0599980000001,64.598602,118.110001,112.959999,9.1,4630.0,178.639999,83.0,4.23,4.03,84.050003,19.200001,143.800003,32.299999,1.410989,841.650024,10.55,177.16000400000001,42.91,33.970001,24.950001,5.8,9.64,62.450001,0.72,9.74,141.179993,17.690001000000002,30.827063,14.5,100.994316,10.53,2.68,4.72,52.549999,43.689999,,87.41999799999999,36.861561,62.029999,17.709999,24.309998999999998,15.54,30.6085,32.180088,,302.51001,43.650002,14.65,8.09,30.623571000000002,56.509406999999996,9.93
2017-04-21,140.625443,88.58000200000001,898.5300289999999,63.520531000000005,117.220001,113.110001,9.08,4620.0,178.080002,82.400002,4.12,3.95,83.790001,18.99,143.679993,32.349998,1.39011,843.1900019999999,10.12,175.28999299999998,44.259997999999996,34.349998,23.790001,5.72,9.46,63.0,0.71,9.66,142.869995,17.42,30.837035999999998,13.83,101.413216,10.38,2.71,5.05,50.049999,43.810001,,87.019997,37.021175,62.439999,17.49,24.030001000000002,14.9,30.408964,32.259640000000005,,305.600006,43.299999,14.63,7.82,30.436059999999998,56.489822,9.76
2017-04-24,141.97958400000002,90.139999,907.409973,65.718048,118.910004,114.860001,9.29,4610.0,180.029999,85.650002,4.24,4.0,84.16999799999999,19.41,145.470001,32.450001,1.400549,862.76001,10.11,180.199997,45.740002000000004,34.57,24.82,5.85,9.76,63.650002,0.73,9.77,143.830002,17.870001000000002,31.016554,14.1,102.679886,10.39,2.73,5.04,51.150002,44.27,,87.440002,37.330433,63.48,17.85,24.040001,15.29,30.718243,32.796638,,308.02999900000003,43.549999,14.71,7.77,31.442698999999998,59.388245,9.88
2017-04-25,142.859299,90.32,907.6199949999999,65.859024,119.629997,115.480003,9.19,4930.0,186.990005,87.75,4.28,4.0,84.75,19.73,146.490005,33.450001,1.413187,872.2999880000001,10.18,181.5,47.880001,34.959998999999996,24.950001,5.9,10.18,63.34,0.72,10.5,152.16000400000001,17.75,31.565077000000002,14.31,104.465195,10.67,2.78,5.03,53.049999,44.709998999999996,,87.589996,37.769382,63.849998,18.219998999999998,24.370001000000002,15.54,31.296892,33.373416999999996,,313.790009,43.639998999999996,14.66,8.21,31.906546000000002,59.427414,10.09
2017-04-26,142.019119,90.230003,909.2899779999999,65.718048,119.849998,114.970001,9.2,5200.0,186.669998,88.650002,4.61,4.0,84.949997,19.6,146.559998,33.799999,1.472528,871.7299800000001,10.4,184.580002,46.959998999999996,34.939999,25.1,6.03,10.11,67.139999,0.7437,10.99,150.169998,17.889999,30.966686,15.11,103.74707,11.01,2.85,5.18,54.049999,44.41,,87.709999,37.390289,63.720001,18.08,25.299999,16.209999,31.057449,33.582245,,310.170013,44.630001,15.82,8.66,31.709164,58.741974,10.46
2017-04-27,142.127869,90.629997,918.3800050000001,66.306831,121.449997,115.43,9.32,5450.0,187.860001,89.050003,4.41,3.98,85.849998,19.43,147.699997,34.0,1.56044,874.25,10.57,183.740005,47.560001,35.299999,24.870001000000002,5.99,10.0,65.190002,0.749,10.87,153.080002,17.4,29.919506,14.91,105.36282299999999,11.15,2.89,4.06,58.450001,47.150002,,88.150002,37.669616999999995,64.599998,18.23,24.83,15.78,31.386681,36.1479,,308.630005,45.099998,16.610001,8.58,31.403222999999997,63.060233999999994,10.11
