Date,A,ABBV,ABC,ABT,AET,AGN,ALGN,ALXN,AMGN,ANTM,BAX,BDX,BIIB,BMY,BSX,CAH,CELG,CERN,CI,CNC,COO,DGX,DHR,DVA,ESRX,EVHC,EW,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,IQV,ISRG,JNJ,LH,LLY,MCK,MDT,MRK,MTD,MYL,PDCO,PFE,PKI,PRGO,REGN,RMD,SYK,TMO,UHS,UNH,VAR,VRTX,WAT,XRAY,ZBH,ZTS
2017-12-05,65.684578,94.73048399999999,85.555595,54.529228,178.20336899999998,164.279999,227.36000099999998,108.900002,177.329514,223.49000499999997,64.019997,218.319504,319.869995,61.6157,24.940001000000002,59.449238,102.559998,70.089996,204.119995,99.730003,231.86109900000002,97.429192,92.60122700000001,60.93,67.839996,31.23,113.050003,72.792343,83.220001,41.889998999999996,71.099998,252.931625,159.779999,211.059998,93.709999,101.0,369.5,139.669998,155.220001,85.42423199999999,150.690002,80.464729,55.299618,612.25,37.41,36.061848,35.302944000000004,69.299042,83.58000200000001,372.339996,84.03939799999999,151.570847,182.307068,105.949997,220.08999599999999,109.260002,138.360001,194.259995,65.52256,115.259293,70.733711
2017-12-06,65.744446,93.727676,85.65520500000001,54.39984499999999,178.412796,168.0,233.00999500000003,109.41999799999999,174.897903,222.710007,63.720001,218.169998,314.660004,60.57254399999999,25.24,58.828644,102.16999799999999,69.58000200000001,204.21000700000002,98.510002,234.04083300000002,96.951355,92.391541,69.199997,68.57,30.530001000000002,113.360001,72.792343,83.099998,41.439999,67.58000200000001,249.89652999999998,159.990005,213.979996,93.790001,101.010002,379.040009,141.059998,155.509995,84.689705,150.470001,81.041466,53.89159,615.97998,36.990002000000004,34.56258,35.233585,69.478882,82.379997,375.130005,84.866348,151.301651,183.725952,107.660004,219.940002,111.040001,137.279999,195.199997,65.412704,115.54871399999999,70.853523
2017-12-07,66.56263,93.56881,85.59543599999999,54.429703,178.34298700000002,164.869995,241.38000499999998,106.779999,172.654861,223.63999900000002,63.52,217.809998,319.570007,61.436871,25.040001,57.626854,102.730003,69.940002,206.0,100.900002,238.77023300000002,96.184822,92.541313,67.139999,67.410004,31.200001,117.449997,72.226212,85.059998,41.68,67.57,253.490723,159.779999,214.669998,94.83000200000001,100.91999799999999,383.77999900000003,140.009995,155.259995,85.235641,150.009995,80.116699,54.308052,620.150024,37.369999,34.959736,35.174133000000005,70.048386,82.870003,373.609985,85.45416999999999,150.693497,185.484589,110.339996,220.149994,111.959999,138.779999,196.470001,64.903389,114.55070500000001,71.52241500000001
2017-12-08,67.231148,95.266632,86.362434,54.379940000000005,182.232361,167.800003,238.42999300000002,114.459999,174.093979,224.850006,64.050003,219.67999300000002,325.769989,62.013088,25.77,58.011028,106.089996,70.41999799999999,209.97000099999997,101.339996,226.531754,96.652702,93.040565,67.709999,68.150002,32.07,118.029999,73.716026,84.839996,42.689999,67.900002,256.07653799999997,160.570007,217.649994,96.58000200000001,101.349998,379.609985,140.58999599999999,156.259995,85.811348,152.570007,80.613884,55.101303,623.1900019999999,38.669998,35.217892,35.411934,70.967575,85.599998,380.77999900000003,86.051964,151.471146,187.812759,111.559998,223.91000400000001,111.980003,143.610001,199.28999299999998,64.813507,113.153503,71.762024
2017-12-11,66.85199,95.78293599999999,86.432167,54.678513,181.075531,172.759995,233.66000400000001,111.900002,175.503326,226.020004,64.139999,218.309998,328.02999900000003,62.60918,25.5,59.340881,108.0,70.129997,209.16000400000001,99.699997,228.42152400000003,96.66265899999999,93.070518,69.510002,68.389999,32.900002,118.18,75.364754,84.970001,43.82,68.32,252.622131,159.699997,214.11000099999998,97.25,101.68,373.549988,141.139999,155.78999299999998,86.029724,153.809998,80.812752,55.86480699999999,624.669983,39.490002000000004,35.257603,35.877617,70.747765,85.589996,381.320007,86.121712,152.248795,189.341568,110.980003,222.770004,111.18,141.679993,197.759995,64.93334200000001,113.283249,71.652199
2017-12-12,66.911858,95.614143,87.478081,55.434898,180.836182,171.869995,234.36999500000002,113.599998,174.937592,228.75,64.309998,218.99000499999997,327.75,62.867481000000005,25.610001,59.360577,109.040001,70.360001,208.479996,100.860001,229.63137799999998,96.57306700000001,93.579758,70.400002,68.559998,33.400002,115.57,75.573326,86.449997,43.57,67.809998,254.229538,159.270004,212.63999900000002,95.400002,101.650002,370.48999,142.600006,156.020004,86.069435,154.550003,81.538651,56.58865,625.01001,39.290001000000004,35.535614,36.244225,71.05749499999999,85.91999799999999,381.72000099999997,85.523911,153.20588700000002,189.341568,112.440002,222.49000499999997,111.449997,140.91000400000001,197.5,64.903389,113.31318700000001,72.111458
2017-12-13,66.5327,96.656662,88.135513,54.797943000000004,178.622223,169.240005,235.63000499999998,113.540001,176.049194,232.059998,64.720001,218.940002,330.709991,63.056248,25.709999,59.665955000000004,108.199997,69.660004,207.919998,101.190002,224.16206400000002,96.702477,94.009117,71.300003,68.57,33.369999,115.400002,76.060005,87.589996,43.68,68.699997,255.82695,158.199997,214.55000299999998,98.099998,102.220001,371.079987,142.889999,156.259995,87.24071500000001,155.21000700000002,81.459099,56.43,626.3900150000001,39.529999,35.734196000000004,36.303669,71.247322,86.019997,386.670013,84.696976,152.84697,191.320007,113.879997,224.350006,112.41999799999999,144.800003,197.199997,65.971962,113.293221,72.2612
2017-12-14,66.363075,95.614143,88.962273,54.469513,178.003922,170.940002,233.80000299999998,113.089996,173.607651,227.11999500000002,64.779999,218.770004,323.549988,61.724982999999995,25.620001000000002,59.449238,108.239998,68.57,203.630005,99.019997,224.83197,96.682571,92.71106,69.029999,69.019997,32.959998999999996,114.309998,74.339996,86.150002,42.959998999999996,68.690002,250.206024,155.25,210.850006,95.970001,101.470001,360.559998,141.649994,155.83999599999999,85.860985,157.199997,81.369606,56.009997999999996,629.929993,40.009997999999996,34.870377000000005,36.12532,70.76775400000001,84.040001,383.119995,83.620949,150.882919,188.320007,112.93,221.25,109.769997,142.529999,193.979996,65.562508,112.594627,71.642227
2017-12-15,67.46064799999999,96.755951,92.807243,55.235847,179.21061699999998,171.679993,233.55000299999998,115.760002,175.711746,226.210007,65.33000200000001,221.460007,327.940002,62.00315500000001,25.780001000000002,62.246849,109.410004,69.41999799999999,204.139999,94.860001,229.271423,98.54414399999999,93.859344,70.519997,71.550003,34.299999,114.220001,75.57,88.459999,43.529999,70.160004,253.23113999999998,156.600006,216.55000299999998,96.410004,102.059998,369.869995,142.46000700000002,159.059998,85.900688,162.600006,83.030212,56.240002000000004,639.9400019999999,40.52,36.240565999999994,36.858532000000004,72.06660500000001,86.5,388.950012,84.975945,153.784134,192.270004,113.440002,221.82000699999998,111.870003,145.860001,196.559998,66.391403,115.00978899999998,71.84189599999999
2017-12-18,67.510536,97.490685,92.040245,56.131565,176.85703999999998,170.91000400000001,235.47000099999997,116.089996,174.818497,227.020004,65.449997,221.729996,325.950012,61.993221,25.780001000000002,61.45879,108.040001,68.980003,206.33999599999999,97.93,224.03207400000002,98.285324,94.21880300000001,71.07,73.379997,33.860001000000004,114.91999799999999,75.129997,89.690002,43.360001000000004,70.160004,245.98284900000002,157.300003,217.289993,93.559998,102.480003,371.899994,141.800003,161.46000700000002,85.444092,160.259995,82.96060899999999,56.220001,642.98999,41.669998,36.449073999999996,36.789173,73.095703,86.379997,383.390015,85.38443000000001,155.020401,193.570007,113.120003,222.669998,110.779999,145.440002,197.720001,66.56118000000001,114.201408,72.510788
