Date,AIV,AMT,ARE,AVB,BXP,CBG,CCI,DLR,DRE,EQIX,EQR,ESS,EXR,FRT,GGP,HCP,HST,IRM,KIM,MAA,MAC,O,PLD,PSA,REG,SBAC,SLG,SPG,UDR,VNO,VTR,WELL,WY
2017-11-20,43.815502,145.493622,125.384155,182.47731000000002,123.79801200000001,42.799999,109.43839299999999,116.463066,27.833298,469.13446,67.387215,248.394867,86.572227,130.25773600000002,23.212414000000003,26.365088,19.455583999999998,40.292965,18.70055,101.769821,62.646328000000004,55.218982999999994,65.99646,209.115387,66.54528,165.679993,99.710297,157.032516,39.065327,75.59485600000001,63.410061,0.145,35.456425
2017-11-21,44.478924,145.86178600000002,127.08242800000001,183.548721,124.424103,42.82,111.053024,117.32604199999999,28.208772999999997,471.49060099999997,67.56579599999999,250.28106699999998,86.879471,130.615051,23.133157999999998,26.365088,19.544468,40.716377,18.454361,103.562027,62.754985999999995,55.63224,66.95005,209.32341,67.15933199999999,167.830002,100.245949,157.170776,39.422359,75.971535,63.479144999999995,0.145,35.456425
2017-11-22,44.201671999999995,144.58815,126.079353,183.13206499999998,124.225349,42.490002000000004,110.785568,116.26467099999999,28.131752000000002,469.611633,67.60548399999999,248.15660099999997,86.641602,130.763916,23.123248999999998,26.276546000000003,19.534592,40.509594,18.493752,103.096649,63.485958,55.386253,66.44345899999999,209.293671,67.020676,166.979996,99.938446,156.360977,39.333103,76.080574,63.400192000000004,0.145,35.534973
2017-11-24,44.310593,146.568268,125.920456,183.161819,124.38436100000001,42.830002,111.65727199999999,116.592018,28.064359999999997,471.30172699999997,67.674934,248.553696,86.601959,130.932648,23.133157999999998,26.443789000000002,19.554342000000002,40.804996,18.513445,103.136261,63.476085999999995,55.48465,66.61232,210.77951000000002,67.15933199999999,169.720001,100.16660300000001,156.03508,39.343018,75.485809,63.834442,0.145,35.515339000000004
2017-11-27,43.964031,147.493637,126.357437,181.386047,124.453926,42.470001,112.221901,117.10781899999999,27.996966999999998,476.12341299999997,67.099487,245.813721,86.62178,129.711853,23.024178,26.256871999999998,19.356825,39.879402,17.912745,102.274811,63.031574,55.317379,66.423592,212.899292,66.773071,172.350006,100.394745,154.445099,39.174423,75.624588,63.025162,0.145,34.886925
2017-11-28,43.696682,147.90159599999998,125.006767,179.828537,123.917274,42.75,112.44973,117.574028,27.919946999999997,475.159058,66.375214,244.97981299999998,84.451279,130.138626,23.133157999999998,26.119144,19.218559,40.056644,18.021067000000002,101.85894,63.090839,54.982834,66.24479699999999,207.451248,67.337601,172.08999599999999,100.067398,154.178452,39.105,76.050842,62.778431000000005,0.145,35.034209999999995
2017-11-29,43.855109999999996,145.573227,126.09921999999999,180.592407,124.27503999999999,42.990002000000004,111.795952,116.046448,27.582983000000002,465.58529699999997,66.21646899999999,245.883209,84.302612,131.111298,23.182692000000003,26.463465000000003,19.425955,39.899097,18.188475,101.245026,63.446449,54.579418000000004,65.68853,208.27340700000002,67.347511,169.759995,101.406532,156.755997,39.035576,76.25901,63.232414,0.28,34.729816
2017-11-30,43.657074,143.21499599999999,126.188599,179.88806200000002,124.602989,43.360001000000004,111.93463100000001,115.758789,27.910403999999996,461.777649,66.295845,245.198227,84.59994499999999,131.220474,23.281763,26.010931,19.544468,40.243732,18.237714999999998,101.433167,63.960106,54.620903000000006,65.787865,211.106384,67.15933199999999,169.75,101.406532,159.738449,39.005825,76.942993,63.173203,0.145,35.056805
2017-12-01,43.558056,142.896591,127.807426,179.88806200000002,126.342148,43.189999,111.488876,117.85176799999999,28.059234999999997,466.42037999999997,66.00811800000001,245.24784900000003,84.44136800000001,131.548004,23.370928,26.227359999999997,19.267941,40.125572,18.218019,101.829224,63.43656899999999,54.86783199999999,65.748131,210.066315,67.406929,169.16000400000001,101.208138,160.330994,38.896732,77.240372,63.962738,0.145,35.076622
2017-12-04,43.508545,138.279648,128.145096,179.67971799999998,127.04774499999999,43.369999,108.596405,109.698067,27.632590999999998,439.697357,65.779922,244.49336200000002,84.094482,132.570297,23.410555,25.971579000000002,19.613598,39.908943,18.799026,101.512375,64.40460999999999,54.660412,65.499802,207.98616,67.94175,162.199997,103.11267099999999,161.634567,38.966152,76.645607,61.99875600000001,0.145,34.809090000000005
