Date,AAP,AMZN,APTV,AZO,BBY,BWA,CBS,CCL,CHTR,CMCSA,CMG,DG,DHI,DIS,DISCA,DISCK,DISH,DLTR,DRI,EXPE,F,FL,FOX,FOXA,GM,GPC,GPS,GRMN,GT,HAS,HBI,HD,HLT,HOG,HRB,IPG,JWN,KMX,KORS,KSS,LB,LEG,LEN,LKQ,LOW,M,MAR,MAT,MCD,MGM,MHK,NCLH,NFLX,NKE,NWL,NWS,NWSA,OMC,ORLY,PCLN,PHM,PVH,RCL,RL,ROST,SBUX,SIG,SNI,TGT,TIF,TJX,TPR,TRIP,TSCO,TWX,UA,UAA,ULTA,VFC,VIAB,WHR,WYN,WYNN,YUM
2017-11-28,92.783501,1193.599976,85.199097,664.219971,57.731556000000005,54.12176899999999,54.587677,66.510002,325.890015,36.106991,285.859985,87.49170699999999,49.986354999999996,102.58476999999999,17.969998999999998,16.870001000000002,50.41,100.940002,82.53025799999999,125.68,11.916541,40.18914,30.17,30.860001,44.515026,88.696541,30.770798,61.87194100000001,31.684340000000002,93.212959,19.75,175.68000800000002,76.129997,48.523403,25.315775,19.215925,42.669998,67.459999,57.869999,45.505402000000004,52.32,46.981674,61.50526,38.919998,81.36734,21.845562,126.900002,18.24,170.3246,33.140297,280.089996,55.310001,199.179993,59.38278199999999,30.550001,16.35,16.15,70.080322,228.47000099999997,1752.02002,33.152271,137.559998,125.20356000000001,94.062538,72.656609,56.354335999999996,52.778889,80.199997,56.619999,93.57265500000001,72.349014,40.320591,34.709998999999996,67.75,89.231903,11.51,12.88,217.07000699999998,73.544983,26.846870000000003,167.479996,110.349998,157.02174399999998,80.656349
2017-11-29,99.88916800000001,1161.27002,85.475403,688.919983,58.507282,54.690002,56.362080000000006,65.699997,331.670013,37.043282,301.98999,88.439125,50.535,104.400162,18.870001000000002,17.780001000000002,51.279999,104.139999,84.26909599999999,122.019997,12.258128999999998,42.315342,31.299999,32.099998,43.415034999999996,90.840988,32.280533,61.360606999999995,32.013034999999995,92.27864100000001,20.309998999999998,177.25,76.559998,48.257385,25.632842999999998,19.869999,45.759997999999996,68.5,58.650002,47.176871999999996,52.529999,47.725842,62.144897,39.5,82.98114,23.629072,126.489998,18.24,169.419998,33.538979,279.100006,55.290001000000004,188.149994,60.160202000000005,30.51,16.450001,16.35,72.341934,236.32000699999998,1734.449951,33.720768,137.139999,124.108772,94.191917,75.78999300000001,57.199749,52.073048,81.370003,61.68,92.090065,74.470192,41.173618,34.57,69.360001,90.526268,12.18,13.57,223.100006,73.654274,28.227451000000002,168.990005,112.269997,155.59608500000002,81.432755
2017-11-30,100.938538,1176.75,87.669899,686.76001,59.283001,55.68,55.883591,65.639999,326.209991,37.391903000000006,304.390015,87.840752,51.0,103.983513,19.02,18.08,50.650002,102.760002,83.782219,122.5,12.21909,42.563728000000005,31.15,31.940001000000002,42.701527,92.3004,32.09182,61.045937,32.242126,92.45755,20.889999,179.820007,77.559998,49.459389,25.940001000000002,19.780001000000002,45.450001,68.910004,58.439999,47.443909000000005,56.07,47.864754,62.74456,39.419998,83.050873,23.451708,127.0,18.25,171.970001,34.007422999999996,282.609985,54.16,187.580002,60.219997,30.969998999999998,16.4,16.16,70.86395300000001,236.210007,1739.709961,34.039921,134.550003,123.29265600000001,94.689499,76.029999,57.50808000000001,51.983578,81.839996,59.900002,94.030365,75.23700699999999,41.352160999999995,34.619999,68.239998,91.113716,11.93,13.29,221.710007,72.491783,28.12813,168.570007,112.389999,157.599976,83.085098
2017-12-01,99.21958199999999,1162.349976,86.69830300000001,678.400024,60.01894,55.009997999999996,56.930285999999995,66.0,336.269989,38.278393,307.589996,87.741028,50.43,104.41008000000001,19.459999,18.4,50.32,103.010002,84.497635,122.699997,12.277648,43.030696999999996,31.469998999999998,32.189999,42.404232,92.191193,31.764046,60.21009399999999,31.993113,91.28469100000001,20.84,180.419998,77.25,49.291893,25.860001,20.09,45.5,68.379997,57.98,47.523033,55.849998,47.507553,62.524685,39.32,83.907585,23.836,126.860001,17.26,172.869995,33.907757000000004,284.820007,54.810001,186.820007,59.880001,31.51,16.450001,16.200001,72.7883,234.399994,1735.300049,33.850421999999995,137.309998,124.636261,95.137314,75.730003,57.010777000000004,51.685337,82.300003,59.509997999999996,96.766701,75.03782700000001,41.203381,34.290001000000004,68.160004,90.904625,11.73,13.15,212.580002,71.3293,28.207588,167.46000700000002,111.66999799999999,158.527145,83.015427
2017-12-04,103.956696,1133.949951,87.360001,709.77002,62.206871,54.240002000000004,59.910872999999995,67.25,334.0,40.160934000000005,315.600006,90.523445,50.580002,109.340424,20.85,19.52,51.599998,106.370003,85.511124,122.239998,12.326447,45.464897,32.310001,33.09,42.661884,93.283272,33.859798,59.836422,31.943312,91.58287800000001,21.15,184.899994,77.660004,51.045639,26.25,20.68,47.259997999999996,70.709999,58.790001000000004,49.600002,57.099998,47.924285999999995,62.944447,39.279999,87.702995,25.422439999999998,127.730003,16.85,170.649994,34.107098,284.649994,55.41,184.03999299999998,60.099998,31.809998999999998,16.75,16.540001,74.097656,250.38999900000002,1723.2399899999998,34.349102,134.279999,124.486977,99.227425,78.010002,58.44300500000001,49.836234999999995,83.370003,62.560001,95.065201,76.680992,41.312489,34.759997999999996,68.269997,92.30851700000001,11.98,13.35,221.63999900000002,70.762955,28.982304,169.630005,112.209999,157.590012,82.92583499999999
2017-12-05,101.088448,1141.569946,88.769997,712.76001,61.639998999999996,54.380001,57.917168000000004,65.940002,330.950012,39.364094,315.559998,90.124535,50.240002000000004,106.36436499999999,19.860001,18.57,52.029999,105.889999,85.590614,120.769997,12.131253,43.120117,32.48,32.990002000000004,42.414139,93.48183399999999,33.094997,60.495266,32.09272,90.559105,20.68,182.850006,77.629997,49.892895,26.290001,20.57,46.150002,67.720001,59.810001,48.259997999999996,55.299999,47.14043,61.994983999999995,39.240002000000004,85.979614,24.850927,127.529999,15.95,172.990005,33.828018,281.26001,54.330002,184.21000700000002,60.419998,31.780001000000002,16.549999,16.4,74.702744,250.210007,1724.880005,33.401610999999995,133.600006,122.23768600000001,95.326401,77.019997,59.019878000000006,50.134476,81.980003,62.200001,94.547783,75.286789,41.312489,34.389998999999996,68.75,90.685577,11.72,13.01,223.97000099999997,69.938278,28.743928999999998,169.119995,112.900002,158.96582,82.71680500000001
2017-12-06,97.44066600000001,1152.349976,85.360001,698.650024,60.970001,53.049999,57.249279,66.059998,322.640015,38.477604,310.670013,90.603226,49.709998999999996,104.618401,19.440001000000002,18.26,49.310001,105.519997,84.984505,119.16999799999999,12.082456,42.543858,32.700001,33.209998999999996,41.77,93.04499799999999,33.174458,60.43626,31.236117999999998,90.260918,20.540001,180.800003,76.75,50.129356,28.99,20.33,45.32,66.550003,59.849998,48.139998999999996,55.209998999999996,45.681866,60.875614,39.32,82.084587,24.72283,127.300003,15.16,173.479996,32.990790999999994,277.670013,54.310001,185.300003,59.720001,31.790001,16.549999,16.389999,73.869514,245.830002,1719.040039,33.012638,133.279999,122.43673700000001,96.829094,76.790001,58.960201,50.621601,81.510002,60.720001,94.716942,74.739075,41.372002,34.419998,67.010002,89.988602,11.55,12.89,223.13999900000002,71.220001,28.743928999999998,169.110001,112.769997,157.37068200000002,82.856155
2017-12-07,97.550598,1159.790039,84.379997,702.340027,61.490002000000004,53.68,57.02,66.18,325.22000099999997,37.740520000000004,313.649994,93.116386,50.16,104.420006,19.530001000000002,18.34,48.950001,107.309998,84.736099,119.209999,12.228849,42.94128,33.77,34.18,42.02,93.800003,33.452568,60.24943199999999,31.196274,90.797653,20.58,182.0,77.279999,50.424927000000004,27.389999,20.190001000000002,44.98,66.970001,59.950001,48.880001,55.099998,45.810852000000004,61.675163,39.75,83.309875,24.910049,127.849998,15.39,172.91000400000001,33.23,280.320007,54.34,185.199997,60.599998,30.809998999999998,16.549999,16.360001,72.500641,244.86000099999998,1719.619995,33.501346999999996,133.729996,123.46186100000001,99.486168,76.699997,58.82095699999999,51.009319,81.66999799999999,61.09,95.045296,73.534081,41.98,34.450001,66.480003,89.97865300000001,11.93,13.28,221.58999599999999,71.910004,29.439186,170.490005,112.769997,158.437424,82.667038
2017-12-08,100.24895500000001,1162.0,85.220001,721.8900150000001,63.790001000000004,53.759997999999996,57.470001,66.910004,324.5,37.800284999999995,315.899994,93.126358,50.779999,104.230003,19.66,18.4,48.59,108.66999799999999,85.85889399999999,117.540001,12.306927,44.679992999999996,32.970001,33.299999,42.02,94.849998,33.263851,61.232773,31.624577000000002,90.807594,20.75,183.41000400000001,78.379997,50.434779999999996,27.219998999999998,20.219998999999998,45.779999,67.480003,61.810001,49.779999,57.279999,45.939842,62.144897,40.220001,85.27233100000001,25.422439999999998,129.320007,15.04,173.149994,33.18,280.570007,55.029999,188.53999299999998,61.299999,30.959999,16.799999,16.549999,72.887505,251.07000699999998,1719.839966,34.009997999999996,135.399994,124.636261,101.844696,76.889999,58.29381600000001,52.908127,81.849998,61.369999,95.27415500000001,73.573914,42.259997999999996,34.5,67.660004,90.317177,12.19,13.63,224.539993,73.349998,29.091558000000003,169.699997,113.050003,159.055542,82.93579100000001
2017-12-11,100.788628,1168.920044,85.889999,708.6099849999999,63.619999,53.560001,57.68,67.029999,331.48999,38.288349,313.390015,93.096436,50.470001,106.83000200000001,19.77,18.440001000000002,49.43,107.07,85.998001,117.83000200000001,12.277648,44.123604,33.27,33.66,41.669998,93.489998,33.373104,60.927937,31.285919,91.11571500000001,20.65,182.25,77.470001,50.040684000000006,27.5,20.200001,45.84,67.970001,61.040001000000004,50.459998999999996,57.990002000000004,45.761241999999996,61.64518,40.34,85.212563,25.511122,128.570007,15.37,173.25,33.34,277.369995,54.720001,186.220001,61.91,30.92,16.9,16.59,73.83976,247.24000499999997,1715.52002,33.810001,134.559998,124.855217,100.700264,76.760002,58.751335,52.450821,81.809998,61.759997999999996,95.861221,72.996323,41.389998999999996,35.32,67.150002,90.426704,12.18,13.5,216.13999900000002,72.599998,29.260405,167.869995,112.739998,163.761215,82.069801
