Date,VBR,VEA,VOE,VTI,VTV,VWO
2018-01-03,133.820007,45.529999,112.57,139.020004,107.059998,47.150002
2018-01-02,133.83999599999999,45.25,112.120003,138.220001,106.650002,46.700001
2017-12-29,132.779999,44.860001000000004,111.57,137.25,106.32,45.91
2017-12-28,133.570007,44.849998,112.089996,137.759995,106.66999799999999,45.689999
2017-12-27,133.050003,44.709998999999996,111.690002,137.46000700000002,106.389999,45.470001
2017-12-26,133.080002,44.599998,111.809998,137.41000400000001,106.360001,45.48
2017-12-22,132.929993,44.59,111.620003,137.520004,106.440002,45.43
2017-12-21,132.990005,44.48,111.459999,137.570007,106.449997,45.060001
2017-12-20,133.369995,44.77,111.68,137.929993,106.760002,44.830002
2017-12-19,133.029999,44.799999,111.620003,137.940002,106.720001,44.77
2017-12-18,133.860001,44.939999,112.019997,138.5,107.029999,44.889998999999996
2017-12-15,132.21000700000002,44.439999,111.029999,137.550003,106.43,44.43
2017-12-14,130.679993,44.470001,110.019997,136.330002,105.58000200000001,44.310001
2017-12-13,132.169998,44.68,110.779999,136.970001,106.220001,44.59
2017-12-12,132.130005,44.490002000000004,110.910004,136.949997,106.410004,44.110001000000004
2017-12-11,132.28999299999998,44.459998999999996,110.970001,136.800003,106.019997,44.43
2017-12-08,132.470001,44.369999,110.949997,136.479996,105.730003,44.139998999999996
2017-12-07,132.08999599999999,44.119999,110.08000200000001,135.770004,105.019997,43.639998999999996
2017-12-06,131.220001,43.990002000000004,109.449997,135.229996,104.82,43.580002
2017-12-05,131.850006,44.189999,109.75,135.309998,104.93,44.130001
2017-12-04,133.110001,44.25,110.599998,135.889999,105.529999,44.200001
2017-12-01,132.600006,44.43,110.120003,136.070007,105.160004,44.049999
2017-11-30,132.970001,44.560001,110.129997,136.33999599999999,105.230003,44.48
2017-11-29,132.550003,44.470001,109.589996,135.300003,104.410004,44.77
2017-11-28,131.490005,44.66,108.910004,135.300003,103.650002,45.400002
2017-11-27,129.529999,44.439999,107.559998,133.970001,102.150002,45.130001
2017-11-24,129.690002,44.720001,107.699997,134.110001,102.129997,45.599998
2017-11-22,129.83999599999999,44.439999,107.559998,133.800003,102.040001,45.77
2017-11-21,129.860001,44.290001000000004,107.610001,133.899994,102.150002,45.619999
