Date,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2014-05-30,45.748051000000004,86.532593,12.923362,50.304562,35.545898,41.151207,,37.908482,56.75103000000001,62.351452
2014-06-02,45.934464,86.423645,12.958149,50.518623,35.489506,41.050701000000004,,37.899609000000005,56.826958,62.56031
2014-06-03,45.831932,86.723259,12.975541999999999,50.462788,35.433116999999996,40.904522,,38.041519,56.931366000000004,62.446383999999995
2014-06-04,45.906509,86.677879,13.010328999999999,50.45348,35.498901000000004,41.050701000000004,,38.023781,57.09273100000001,62.750168
2014-06-05,46.120895000000004,87.177216,13.132082,50.965359,35.733871,41.215171999999995,,38.343086,57.15916800000001,63.158381999999996
2014-06-06,46.344604,87.89445500000001,13.219048999999998,51.477253000000005,35.893642,41.324799,,38.210045,57.102215,63.52861
2014-06-09,46.223427,88.030647,13.277029,51.737854,36.006428,41.260849,,37.952824,56.80798000000001,63.547596
2014-06-10,46.288672999999996,87.885391,13.271232999999999,51.616856,36.025227,41.260849,,37.864132,56.997814,63.424191
2014-06-11,46.027695,88.22130600000001,13.184262,51.235268,35.940639000000004,41.151207,,37.385178,56.931366000000004,63.234352
2014-06-12,45.636189,88.51185600000001,13.103094,50.546547,35.630482,40.858837,,37.500477000000004,56.646618000000004,62.427402
2014-06-13,45.813297,89.356178,13.108894,50.723385,35.837257,40.849697,,37.739959999999996,56.599163,62.455887
2014-06-16,45.710762,89.891869,13.045117,50.667538,35.837257,41.005024,,37.997173,56.713058,62.598286
2014-06-17,45.80397,89.82830799999999,13.178464000000002,50.807148,35.921848,41.005024,,37.943954,56.684578,62.845107999999996
2014-06-18,46.297993,90.509232,13.253838,51.095673,36.109814,41.489265,,38.804302,57.140181999999996,63.319763
2014-06-19,46.204777,91.15385400000001,13.236445000000002,51.225964000000005,36.044018,41.726803000000004,,39.123608000000004,57.330020999999995,63.16786999999999
2014-06-20,46.487049,92.060059,13.300993,51.440674,35.964733,41.599078999999996,,38.885513,57.812267000000006,62.932087
2014-06-23,46.552597,92.388428,13.330123,51.141487,36.0686,41.369099,,38.751331,57.593143000000005,63.008286
2014-06-24,46.112453,90.44561800000001,13.242729,50.627274,35.879753,41.221911999999996,,38.867619,57.631241,62.855895999999994
2014-06-25,46.47768,91.129707,13.254384,50.674015000000004,36.021392999999996,41.15752,,39.010742,58.260052,63.38921
2014-06-26,46.468315000000004,91.230034,13.207775,50.63662,35.98362,41.010329999999996,,39.127041,58.336268999999994,63.436831999999995
2014-06-27,46.327853999999995,91.230034,13.260209,50.758156,36.200790000000005,41.08392,,39.279106,58.183842000000006,63.589211
2014-06-30,46.487049,91.302994,13.248555999999999,50.543125,36.21022,41.047123,,39.592186,57.955185,63.560642
2014-07-01,46.599422,91.35771899999999,13.330123,50.851658,36.578476,41.139114,,39.198597,58.688786,64.236809
2014-07-02,46.655621000000004,91.220924,13.318470000000001,50.767517,36.616238,41.249508,,38.43824,59.136589,64.33206899999999
2014-07-03,46.955303,91.567513,13.42334,51.18824,36.776749,41.479488,,38.017807,59.374759999999995,64.827271
2014-07-07,46.561966,90.865204,13.365079000000001,50.823608,36.814522,41.543888,,38.19672,58.926968,64.427284
2014-07-08,46.440224,90.719246,13.248555999999999,50.47768,36.484043,41.461090000000006,,38.456131,58.374390000000005,63.798717
2014-07-09,46.599422,91.321259,13.283513000000001,50.561825,36.663445,41.645073,,38.348789000000004,58.62209300000001,64.57016
2014-07-10,46.393394,90.44561800000001,13.196123000000002,50.262638,36.559589,41.580684999999995,,38.6082,58.583992,63.970154
2014-07-11,46.47768,89.752403,13.219423999999998,50.552475,36.748425,41.635872,,38.313004,58.707843999999994,64.179672
2014-07-14,46.449589,90.527702,13.300993,50.842312,37.012798,41.783062,,37.874687,58.898392,64.360626
2014-07-15,46.355942,90.135498,13.394210000000001,50.870354,36.946701000000004,41.415092,,38.071476000000004,58.393436,64.14157900000001
2014-07-16,46.674339,91.50367,13.370906,51.085392,37.286617,41.424285999999995,,38.19672,58.202892000000006,64.30348199999999
2014-07-17,46.47768,90.026031,13.196123000000002,50.290690999999995,36.805077000000004,41.166714,,37.847851,57.564556,63.693966
2014-07-18,46.767990000000005,90.29055,13.347601000000001,50.711418,37.248855999999996,41.580684999999995,,38.232487,58.507771,64.284439
2014-07-21,46.636883000000005,90.42738299999999,13.312645000000002,50.683369,37.201645,41.387496999999996,,38.19672,58.269577000000005,63.989208
2014-07-22,46.702442,91.07498199999999,13.353428,50.870354,37.513226,41.313904,,38.116203000000006,58.774531999999994,64.255875
2014-07-23,46.899109,91.65873,13.382557,50.664665,37.57933,41.258705,,38.151984999999996,59.250904000000006,64.208244
2014-07-24,46.842915000000005,91.740822,13.411689,50.421585,37.550999,41.369099,,38.26828,59.127056,64.351105
2014-07-25,46.927197,91.065865,13.335948000000002,50.290690999999995,37.503784,41.203509999999994,,37.96413,58.907925,63.636832999999996
2014-07-28,47.048943,90.846954,13.341775,50.038253999999995,37.569878,40.991928,,38.491913000000004,58.965084,63.760631999999994
2014-07-29,46.711811,90.618927,13.271861,49.411831,37.494339000000004,40.807941,,38.134102,59.01271800000001,63.579689
2014-07-30,46.468315000000004,90.080795,13.330123,49.458588,37.532112,40.375576,,37.490028,59.250904000000006,63.93206
2014-07-31,45.559933,88.137955,13.056295,48.458199,36.823956,39.685619,,36.899634999999996,58.031399,62.751129000000006
2014-08-01,45.597389,87.426514,12.945599000000001,48.411442,36.625675,39.989212,,37.042763,58.079037,62.52256800000001
2014-08-04,46.140556,88.89502,13.050469,48.57975,36.890049,40.118,,36.845963,58.326752,63.13209200000001
2014-08-05,45.662945,86.952209,12.916468,48.289906,36.540699,39.943214000000005,,36.398697,57.764632999999996,62.693993000000006
