"Holdings and weightings as of 5:38 PM ET 03/06/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"QRVO","Qorvo, Inc","0.18%","83.45","-0.23","-0.27%","422.47 K","62.68 - 85.24",
"JNPR","Juniper Networks Inc","0.17%","25.80","-0.15","-0.56%","1.05 M","23.87 - 30.96",
"VRSN","VeriSign Inc","0.17%","117.77","+0.32","+0.27%","338.00 K","83.59 - 121.61",
"AMD","Advanced Micro Devices","0.17%","12.40","+0.64","+5.40%","89.24 M","9.70 - 15.65",
"IT","Gartner Inc","0.17%","121.50","+0.54","+0.45%","318.90 K","102.35 - 142.16",
"CDNS","Cadence Design Systems Inc","0.17%","39.04","+0.06","+0.15%","628.78 K","30.35 - 46.00",
"FFIV","F5 Networks Inc","0.16%","152.44","+0.30","+0.20%","216.85 K","114.63 - 153.08",
"WU","Western Union Co","0.15%","19.87","-0.03","-0.15%","623.60 K","18.39 - 22.21",
"FLIR","FLIR Systems Inc","0.13%","49.81","-0.70","-1.38%","591.59 K","33.95 - 52.88",
"CSRA","CSRA Inc","0.13%","40.67","+0.06","+0.14%","954.00 K","27.38 - 40.84",
"XRX","Xerox Corp","0.11%","29.80","-0.24","-0.80%","788.39 K","26.64 - 37.42",
